session_date_range,session_x,adaptive_class,CLS_ID,borough,training_site,tbl_school_year,training_entity_code
October - December,Session #1,False,309,Manhattan,River Bank,2019-2020,NYC Parks
October - December,Session #1,False,221,Queens,FMCP,2016-2017,NYC Parks
April - June,Session #3,False,201,Manhattan,Asser Levy,2017-2018,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2018-2019,NYC Parks
April - June,Session #3,False,K01,Manhattan,Chelsea,2017-2018,NYC Parks
April - June,Session #3,False,201,Queens,FMCP,2018-2019,NYC Parks
April - June,Session #3,False,206,Queens,FMCP,2016-2017,NYC Parks
October - December,Session #1,False,201,Bronx,St. Mary's,2018-2019,NYC Parks
January - March,Session #2,False,202,Brooklyn,Metropolitan,2018-2019,NYC Parks
April - June,Session #3,False,204,Brooklyn,St. John's,2016-2017,NYC Parks
January - March,Session #2,False,232,Queens,FMCP,2016-2017,NYC Parks
April - June,Session #3,False,201,Queens,FMCP,2018-2019,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
April - June,Session #3,False,2,Brooklyn,Metropolitan,2016-2017,NYC Parks
April - June,Session #3,False,203,Queens,Roy Wilkins,2017-2018,NYC Parks
January - March,Session #2,False,201,Brooklyn,Metropolitan,2016-2017,NYC Parks
January - March,Session #2,False,201,Manhattan,River Bank,2020-2021,NYC Parks
October - December,Session #1,False,014/011,Brooklyn,Brownsville,2018-2019,NYC Parks
April - June,Session #3,False,202,Brooklyn,Brownsville,2016-2017,NYC Parks
April - June,Session #3,False,221,Queens,FMCP,2016-2017,NYC Parks
October - December,Session #1,False,2 QUINN HR,Queens,Roy Wilkins,2018-2019,NYC Parks
April - June,Session #3,False,"216, 205, 207, 220, 214",Manhattan,Hansborough,2016-2017,NYC Parks
October - December,Session #1,False,204,Queens,Roy Wilkins,2019-2020,NYC Parks
October - December,Session #1,False,203,Brooklyn,St. John's,2016-2017,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2020-2021,NYC Parks
April - June,Session #3,False,202,Brooklyn,St. John's,2016-2017,NYC Parks
April - June,Session #3,False,202,Queens,FMCP,2018-2019,NYC Parks
April - June,Session #3,False,2,Brooklyn,Metropolitan,2016-2017,NYC Parks
January - March,Session #2,False,201/202,Brooklyn,Brownsville,2016-2017,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2016-2017,NYC Parks
October - December,Session #1,False,609,Brooklyn,LIU,2017-2018,NYC Parks
January - March,Session #2,False,221,Queens,FMCP,2017-2018,NYC Parks
April - June,Session #3,False,"201, 449",Manhattan,Hansborough,2016-2017,NYC Parks
April - June,Session #3,False,2,Brooklyn,Metropolitan,2016-2017,NYC Parks
April - June,Session #3,False,201,Bronx,Fieldston,2016-2017,Partner Site
October - December,Session #1,False,203,Brooklyn,Metropolitan,2019-2020,NYC Parks
January - March,Session #2,False,307,Manhattan,Tony Dapolito,2020-2021,NYC Parks
January - March,Session #2,False,202,Brooklyn,Metropolitan,2017-2018,NYC Parks
April - June,Session #3,False,,Manhattan,Asser Levy,2018-2019,NYC Parks
October - December,Session #1,False,201,Brooklyn,Metropolitan,2017-2018,NYC Parks
January - March,Session #2,False,404,Manhattan,Hansborough,2017-2018,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2020-2021,NYC Parks
October - December,Session #1,False,202,Bronx,St. Mary's,2016-2017,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2020-2021,NYC Parks
October - December,Session #1,False,203,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,202,Queens,Roy Wilkins,2019-2020,NYC Parks
October - December,Session #1,False,202,Brooklyn,Brownsville,2018-2019,NYC Parks
October - December,Session #1,False,202,Brooklyn,Metropolitan,2019-2020,NYC Parks
January - March,Session #2,False,202,Brooklyn,Metropolitan,2020-2021,NYC Parks
January - March,Session #2,False,201,Bronx,St. Mary's,2020-2021,NYC Parks
October - December,Session #1,False,307,Manhattan,River Bank,2019-2020,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2019-2020,NYC Parks
October - December,Session #1,False,201,Brooklyn,Metropolitan,2017-2018,NYC Parks
January - March,Session #2,False,203,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,202,Queens,Roy Wilkins,2018-2019,NYC Parks
January - March,Session #2,False,202,Manhattan,Asser Levy,2020-2021,NYC Parks
October - December,Session #1,False,603,Manhattan,Asser Levy,2018-2019,NYC Parks
October - December,Session #1,False,251,Manhattan,Gertrude Ederle,2019-2020,NYC Parks
October - December,Session #1,False,203,Manhattan,Gertrude Ederle,2016-2017,NYC Parks
April - June,Session #3,False,210,Queens,FMCP,2018-2019,NYC Parks
January - March,Session #2,False,2,Queens,FMCP,2016-2017,NYC Parks
January - March,Session #2,False,404,Manhattan,Hansborough,2017-2018,NYC Parks
January - March,Session #2,False,202,Brooklyn,Metropolitan,2018-2019,NYC Parks
January - March,Session #2,False,404,Manhattan,Hansborough,2017-2018,NYC Parks
April - June,Session #3,False,205,Manhattan,Asser Levy,2016-2017,NYC Parks
January - March,Session #2,False,236,Queens,FMCP,2018-2019,NYC Parks
October - December,Session #1,False,301,Manhattan,River Bank,2019-2020,NYC Parks
April - June,Session #3,False,201,Brooklyn,Metropolitan,2017-2018,NYC Parks
October - December,Session #1,False,204,Queens,Far Rockaway,2017-2018,NYC Parks
October - December,Session #1,False,"Y44, Y23",Manhattan,LIU,2018-2019,NYC Parks
October - December,Session #1,False,221,Queens,FMCP,2017-2018,NYC Parks
October - December,Session #1,False,120,Brooklyn,Brownsville,2016-2017,NYC Parks
