session_date_range,session_x,adaptive_class,CLS_ID,borough,training_site,tbl_school_year,training_entity_code
April - June,Session #3,True,Y27,Manhattan,Chelsea,2016-2017,NYC Parks
April - June,Session #3,False,201,Bronx,St. Mary's,2017-2018,NYC Parks
January - March,Session #2,False,311,Manhattan,Tony Dapolito,2017-2018,NYC Parks
January - March,Session #2,False,202,Brooklyn,Metropolitan,2018-2019,NYC Parks
April - June,Session #3,False,201,Manhattan,Gertrude Ederle,2016-2017,NYC Parks
January - March,Session #2,False,202,Brooklyn,Metropolitan,2018-2019,NYC Parks
January - March,Session #2,False,204,Brooklyn,Brownsville,2020-2021,NYC Parks
April - June,Session #3,False,202,Brooklyn,Brownsville,2016-2017,NYC Parks
October - December,Session #1,False,206,Manhattan,Tony Dapolito,2017-2018,NYC Parks
October - December,Session #1,False,203,Queens,Roy Wilkins,2016-2017,NYC Parks
April - June,Session #3,False,215/232/229,Queens,FMCP,2017-2018,NYC Parks
October - December,Session #1,False,204,Queens,Roy Wilkins,2019-2020,NYC Parks
October - December,Session #1,False,205,Manhattan,Chelsea,2017-2018,NYC Parks
April - June,Session #3,False,202,Queens,FMCP,2016-2017,NYC Parks
October - December,Session #1,False,202,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,204,Queens,FMCP,2016-2017,NYC Parks
January - March,Session #2,True,Y44,Brooklyn,Metropolitan,2018-2019,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
April - June,Session #3,False,204,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,221,Queens,FMCP,2016-2017,NYC Parks
January - March,Session #2,False,2DL,Manhattan,Asser Levy,2018-2019,NYC Parks
January - March,Session #2,False,207,Manhattan,Gertrude Ederle,2016-2017,NYC Parks
October - December,Session #1,False,301,Manhattan,River Bank,2019-2020,NYC Parks
April - June,Session #3,False,202,Queens,FMCP,2017-2018,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2019-2020,NYC Parks
January - March,Session #2,False,201,Brooklyn,St. John's,2016-2017,NYC Parks
January - March,Session #2,False,201,Brooklyn,Metropolitan,2020-2021,NYC Parks
January - March,Session #2,False,202,Brooklyn,Metropolitan,2018-2019,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2020-2021,NYC Parks
January - March,Session #2,False,21,Bronx,St. Mary's,2018-2019,NYC Parks
October - December,Session #1,False,315,Manhattan,River Bank,2019-2020,NYC Parks
October - December,Session #1,False,207,Manhattan,Gertrude Ederle,2018-2019,NYC Parks
April - June,Session #3,False,202,Queens,FMCP,2018-2019,NYC Parks
January - March,Session #2,False,202,Queens,Roy Wilkins,2018-2019,NYC Parks
January - March,Session #2,False,201,Bronx,St. Mary's,2018-2019,NYC Parks
January - March,Session #2,False,205,Brooklyn,St. John's,2017-2018,NYC Parks
January - March,Session #2,False,205,Manhattan,River Bank,2016-2017,NYC Parks
January - March,Session #2,False,200,Manhattan,Hansborough,2018-2019,NYC Parks
January - March,Session #2,False,201,Queens,FMCP,2017-2018,NYC Parks
October - December,Session #1,False,201,Queens,FMCP,2016-2017,NYC Parks
April - June,Session #3,False,2,Brooklyn,Metropolitan,2016-2017,NYC Parks
January - March,Session #2,False,200,Manhattan,Hansborough,2018-2019,NYC Parks
October - December,Session #1,False,204,Brooklyn,Metropolitan,2019-2020,NYC Parks
October - December,Session #1,False,202,Brooklyn,St. John's,2017-2018,NYC Parks
January - March,Session #2,False,902/903,Brooklyn,St. John's,2016-2017,NYC Parks
April - June,Session #3,False,201,Manhattan,Gertrude Ederle,2016-2017,NYC Parks
October - december,Session #1,False,202,Queens,Roy Wilkins,2016-2017,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2016-2017,NYC Parks
October - December,Session #1,False,601,Manhattan,Asser Levy,2018-2019,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2017-2018,NYC Parks
October - December,Session #1,False,291/ 231,Queens,Roy Wilkins,2016-2017,NYC Parks
April - June,Session #3,False,205,Manhattan,Asser Levy,2016-2017,NYC Parks
January - March,Session #2,False,410,Manhattan,Tony Dapolito,2020-2021,NYC Parks
January - March,Session #2,False,204,Queens,Roy Wilkins,2016-2017,NYC Parks
April - June,Session #3,True,419,Queens,FMCP,2018-2019,NYC Parks
January - March,Session #2,False,232,Queens,FMCP,2016-2017,NYC Parks
January - March,Session #2,False,309,Brooklyn,Metropolitan,2017-2018,NYC Parks
April - June,Session #3,False,Dartmoth,Queens,Roy Wilkins,2016-2017,NYC Parks
January - March,Session #2,False,201,Brooklyn,Brownsville,2020-2021,NYC Parks
January - March,Session #2,False,213,Manhattan,Tony Dapolito,2016-2017,NYC Parks
October - December,Session #1,False,404,Queens,FMCP,2016-2017,NYC Parks
January - March,Session #2,False,203,Brooklyn,St. John's,2017-2018,NYC Parks
April - June,Session #3,False,231,Queens,FMCP,2016-2017,NYC Parks
April - June,Session #3,False,201,Bronx,St. Mary's,2018-2019,NYC Parks
April - June,Session #3,False,201,Queens,FMCP,2017-2018,NYC Parks
October - December,Session #1,False,200,Brooklyn,Metropolitan,2019-2020,NYC Parks
April - June,Session #3,False,202,Bronx,St. Mary's,2016-2017,NYC Parks
January - March,Session #2,False,206,Manhattan,Gertrude Ederle,2018-2019,NYC Parks
April - June,Session #3,False,203,Brooklyn,St. John's,2017-2018,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2016-2017,NYC Parks
October - December,Session #1,False,203,Manhattan,Gertrude Ederle,2016-2017,NYC Parks
April - June,Session #3,False,202,Bronx,St. Mary's,2018-2019,NYC Parks
October - December,Session #1,False,201,Manhattan,Boys and Girls Harbor,2016-2017,NYC Parks
January - March,Session #2,False,201,Manhattan,River Bank,2020-2021,NYC Parks
April - June,Session #3,False,202,Brooklyn,Brownsville,2016-2017,NYC Parks
January - March,Session #2,False,221,Queens,FMCP,2018-2019,NYC Parks
January - March,Session #2,False,202,Brooklyn,St. Mary's,2020-2021,NYC Parks
January - March,Session #2,False,201,Brooklyn,Brownsville,2018-2019,NYC Parks
January - March,Session #2,False,201,Brooklyn,Metropolitan,2019-2020,NYC Parks
April - June,Session #3,False,2 Quinn HR,Queens,Roy Wilkins,2017-2018,NYC Parks
January - March,Session #2,False,205,Brooklyn,St. John's,2017-2018,NYC Parks
October - December,Session #1,False,014/011,Brooklyn,Brownsville,2018-2019,NYC Parks
October - December,Session #1,False,205,Brooklyn,Metropolitan,2019-2020,NYC Parks
April - June,Session #3,False,2,Brooklyn,Metropolitan,2016-2017,NYC Parks
October - December,Session #1,False,202,Brooklyn,St. John's,2019-2020,NYC Parks
April - June,Session #3,False,203,Brooklyn,St. John's,2016-2017,NYC Parks
October - December,Session #1,False,239,Brooklyn,Brownsville,2016-2017,NYC Parks
October - December,Session #1,False,202,Bronx,St. Mary's,2017-2018,NYC Parks
January - March,Session #2,False,201,Brooklyn,Metropolitan,2018-2019,NYC Parks
January - March,Session #2,False,2,Brooklyn,Brownsville,2018-2019,NYC Parks
January - March,Session #2,False,201,Manhattan,Tony Dapolito,2018-2019,NYC Parks
January - March,Session #2,False,202,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,202,Brooklyn,Metropolitan,2016-2017,NYC Parks
October - December,Session #1,False,202 & 205,Brooklyn,St. John's,2017-2018,NYC Parks
April - June,Session #3,False,202,Queens,FMCP,2017-2018,NYC Parks
January - March,Session #2,False,201,Manhattan,Hansborough,2016-2017,NYC Parks
January - March,Session #2,False,2290,Queens,Roy Wilkins,2016-2017,NYC Parks
January - March,Session #2,False,205,Manhattan,Gertrude Ederle,2017-2018,NYC Parks
October - December,Session #1,False,"X01, Y52",Manhattan,Gertrude Ederle,2018-2019,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
October - December,Session #1,False,240,Manhattan,Asser Levy,2017-2018,NYC Parks
April - June,Session #3,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
January - March,Session #2,False,202,Brooklyn,St. John's,2016-2017,NYC Parks
January - March,Session #2,False,202,Queens,Roy Wilkins,2020-2021,NYC Parks
October - December,Session #1,False,231,Queens,Roy Wilkins,2017-2018,NYC Parks
January - March,Session #2,False,203,Brooklyn,St. John's,2016-2017,NYC Parks
January - March,Session #2,False,202,Queens,Roy Wilkins,2020-2021,NYC Parks
January - March,Session #2,False,204,Brooklyn,St. John's,2016-2017,NYC Parks
April - June,Session #3,False,204,Brooklyn,Brownsville,2017-2018,NYC Parks
January - March,Session #2,False,11,Brooklyn,Brownsville,2020-2021,NYC Parks
April - June,Session #3,False,201,Queens,FMCP,2017-2018,NYC Parks
January - March,Session #2,False,232,Queens,FMCP,2017-2018,NYC Parks
April - June,Session #3,False,203,Queens,FMCP,2017-2018,NYC Parks
January - March,Session #2,False,231,Queens,Roy Wilkins,2020-2021,NYC Parks
October - december,Session #1,False,215,Manhattan,Tony Dapolito,2016-2017,NYC Parks
April - June,Session #3,False,,Bronx,St. Mary's,2018-2019,NYC Parks
October - December,Session #1,False,301,Manhattan,River Bank,2019-2020,NYC Parks
April - June,Session #3,False,202,Brooklyn,Brownsville,2016-2017,NYC Parks
October - December,Session #1,False,205,Manhattan,Tony Dapolito,2016-2017,NYC Parks
october - december,Session #1,False,215,Manhattan,Tony Dapolito,2016-2017,NYC Parks
January - March,Session #2,False,205,Manhattan,River Bank,2016-2017,NYC Parks
April - June,Session #3,False,203,Queens,FMCP,2018-2019,NYC Parks
April - June,Session #3,False,202,Queens,Roy Wilkins,2017-2018,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2019-2020,NYC Parks
October - December,Session #1,False,201,Brooklyn,St. John's,2019-2020,NYC Parks
October - December,Session #1,False,205,Manhattan,Chelsea,2016-2017,NYC Parks
October - December,Session #1,False,604,Manhattan,Asser Levy,2017-2018,NYC Parks
April - June,Session #3,False,2 Quinn HR,Queens,Roy Wilkins,2017-2018,NYC Parks
October - December,Session #1,False,122/124,Manhattan,Asser Levy,2019-2020,NYC Parks
October - December,Session #1,False,203,Brooklyn,Metropolitan,2016-2017,NYC Parks
October - December,Session #1,False,204,Queens,FMCP,2016-2017,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,True,404,Queens,FMCP,2017-2018,NYC Parks
October - December,Session #1,False,203,Queens,Roy Wilkins,2017-2018,NYC Parks
January - March,Session #2,False,201,Queens,FMCP,2018-2019,NYC Parks
April - June,Session #3,False,221,Manhattan,Hansborough,2016-2017,NYC Parks
October - December,Session #1,True,X03,Manhattan,Hansborough,2018-2019,NYC Parks
October - December,Session #1,False,202,Manhattan,Hansborough,2017-2018,NYC Parks
October - December,Session #1,False,201,Queens,FMCP,2018-2019,NYC Parks
October - December,Session #1,False,201,Brooklyn,St. John's,2019-2020,NYC Parks
October - December,Session #1,False,202,Brooklyn,Brownsville,2019-2020,NYC Parks
January - March,Session #2,False,201,Manhattan,Tony Dapolito,2018-2019,NYC Parks
October - December,Session #1,False,201,Brooklyn,Metropolitan,2019-2020,NYC Parks
April - June,Session #3,False,202,Brooklyn,Metropolitan,2017-2018,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2020-2021,NYC Parks
April - June,Session #3,False,201,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,201,Queens,FMCP,2018-2019,NYC Parks
January - March,Session #2,False,204,Queens,Roy Wilkins,2020-2021,NYC Parks
October - December,Session #1,False,201,Manhattan,Hansborough,2016-2017,NYC Parks
April - June,Session #3,False,201,Brooklyn,Brownsville,2017-2018,NYC Parks
April - June,Session #3,False,201,Manhattan,Chelsea,2017-2018,NYC Parks
January - March,Session #2,False,205,Manhattan,Hansborough,2017-2018,NYC Parks
April - June,Session #3,False,231,Queens,FMCP,2018-2019,NYC Parks
April - June,Session #3,False,203,Queens,FMCP,2018-2019,NYC Parks
April - June,Session #3,False,201,Queens,FMCP,2018-2019,NYC Parks
January - March,Session #2,False,213,Manhattan,Tony Dapolito,2016-2017,NYC Parks
October - December,Session #1,False,202,Brooklyn,Brownsville,2017-2018,NYC Parks
April - June,Session #3,False,206,Brooklyn,St. John's,2016-2017,NYC Parks
April - June,Session #3,False,203,Brooklyn,Brownsville,2016-2017,NYC Parks
April - June,Session #3,False,202,Manhattan,Gertrude Ederle,2018-2019,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
October - December,Session #1,False,202,Queens,Roy Wilkins,2019-2020,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2018-2019,NYC Parks
January - March,Session #2,False,233/234,Queens,FMCP,2017-2018,NYC Parks
January - March,Session #2,False,291,Manhattan,Chelsea,2016-2017,NYC Parks
January - March,Session #2,False,201,Queens,FMCP,2017-2018,NYC Parks
January - March,Session #2,True,204,Queens,FMCP,2018-2019,NYC Parks
October - December,Session #1,False,202,Manhattan,Hansborough,2016-2017,NYC Parks
October - December,Session #1,False,2 Thorpe HR,Queens,Roy Wilkins,2016-2017,NYC Parks
April - June,Session #3,False,201,Bronx,St. Mary's,2018-2019,NYC Parks
October - December,Session #1,False,204,Queens,FMCP,2016-2017,NYC Parks
April - June,Session #3,False,202,Queens,Roy Wilkins,2017-2018,NYC Parks
April - June,Session #3,False,202,Queens,FMCP,2018-2019,NYC Parks
October - December,Session #1,False,204,Queens,FMCP,2016-2017,NYC Parks
April - June,Session #3,False,2,Brooklyn,Metropolitan,2016-2017,NYC Parks
January - March,Session #2,False,205/129,Brooklyn,Metropolitan,2017-2018,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2017-2018,NYC Parks
January - March,Session #2,False,231,Queens,FMCP,2018-2019,NYC Parks
October - December,Session #1,False,202,Manhattan,Asser Levy,2019-2020,NYC Parks
January - March,Session #2,False,202,Brooklyn,Metropolitan,2018-2019,NYC Parks
January - March,Session #2,False,231,Queens,FMCP,2018-2019,NYC Parks
October - December,Session #1,False,205,Brooklyn,Brownsville,2017-2018,NYC Parks
April - June,Session #3,False,"234, 238, 236",Manhattan,Asser Levy,2016-2017,NYC Parks
January - March,Session #2,False,201,Brooklyn,Metropolitan,2017-2018,NYC Parks
April - June,Session #3,False,2A219,Brooklyn,Brownsville,2017-2018,NYC Parks
January - March,Session #2,False,201,Manhattan,River Bank,2020-2021,NYC Parks
January - March,Session #2,False,201,Manhattan,Gertrude Ederle,2020-2021,NYC Parks
January - March,Session #2,False,203,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,203,Brooklyn,Metropolitan,2017-2018,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2020-2021,NYC Parks
April - June,Session #3,False,202,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,203,Queens,Roy Wilkins,2018-2019,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
January - March,Session #2,False,205,Brooklyn,Metropolitan,2020-2021,NYC Parks
January - March,Session #2,False,202,Queens,Roy Wilkins,2016-2017,NYC Parks
January - March,Session #2,False,205,Brooklyn,St. John's,2020-2021,NYC Parks
January - March,Session #2,False,201,Brooklyn,Metropolitan,2016-2017,NYC Parks
April - June,Session #3,False,201,Manhattan,Chelsea,2017-2018,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
October - December,Session #1,False,221,Queens,FMCP,2016-2017,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2020-2021,NYC Parks
October - December,Session #1,False,201,Manhattan,Tony Dapolito,2019-2020,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2016-2017,NYC Parks
January - March,Session #2,False,204,Brooklyn,St. John's,2016-2017,NYC Parks
April - June,Session #3,False,2 Quinn HR,Queens,Roy Wilkins,2017-2018,NYC Parks
April - June,Session #3,False,"291, 202",Queens,Roy Wilkins,2016-2017,NYC Parks
January - March,Session #2,False,201,Manhattan,River Bank,2017-2018,NYC Parks
April - June,Session #3,False,203,Manhattan,Hansborough,2017-2018,NYC Parks
October - December,Session #1,False,203,Brooklyn,St. John's,2016-2017,NYC Parks
January - March,Session #2,False,202,Bronx,St. Mary's,2016-2017,NYC Parks
October - December,Session #1,False,2 HR,Queens,Roy Wilkins,2017-2018,NYC Parks
october - december,Session #1,False,202,Brooklyn,St. John's,2016-2017,NYC Parks
April - June,Session #3,False,202,Queens,Roy Wilkins,2018-2019,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
January - March,Session #2,True,L7204,Brooklyn,Brownsville,2018-2019,NYC Parks
January - March,Session #2,False,202,Brooklyn,Brownsville,2018-2019,NYC Parks
October - December,Session #1,False,309,Manhattan,River Bank,2019-2020,NYC Parks
October - December,Session #1,False,201,Queens,Roy Wilkins,2016-2017,NYC Parks
January - March,Session #2,False,201,Manhattan,Tony Dapolito,2017-2018,NYC Parks
October - December,Session #1,False,203,Queens,FMCP,2016-2017,NYC Parks
April - June,Session #3,False,201,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,201,Brooklyn,Metropolitan,2019-2020,NYC Parks
January - March,Session #2,False,202,Queens,Roy Wilkins,2018-2019,NYC Parks
April - June,Session #3,False,201,Brooklyn,Metropolitan,2017-2018,NYC Parks
October - December,Session #1,False,1,Brooklyn,Metropolitan,2017-2018,NYC Parks
October - December,Session #1,False,204,Queens,Roy Wilkins,2016-2017,NYC Parks
October - December,Session #1,False,2 HR,Queens,Roy Wilkins,2017-2018,NYC Parks
April - June,Session #3,False,202,Queens,Roy Wilkins,2017-2018,NYC Parks
April - June,Session #3,False,201,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2016-2017,NYC Parks
April - June,Session #3,False,201,Queens,Roy Wilkins,2018-2019,NYC Parks
April - June,Session #3,False,203,Queens,FMCP,2016-2017,NYC Parks
April - June,Session #3,False,,Manhattan,Asser Levy,2018-2019,NYC Parks
October - December,Session #1,False,206,Manhattan,Tony Dapolito,2019-2020,NYC Parks
October - December,Session #1,False,202,Queens,Roy Wilkins,2018-2019,NYC Parks
April - June,Session #3,False,204,Brooklyn,Brownsville,2016-2017,NYC Parks
October - December,Session #1,False,201,Brooklyn,Metropolitan,2019-2020,NYC Parks
January - March,Session #2,False,203,Queens,Roy Wilkins,2020-2021,NYC Parks
January - March,Session #2,False,202,Brooklyn,Brownsville,2016-2017,NYC Parks
January - March,Session #2,False,205,Manhattan,River Bank,2020-2021,NYC Parks
April - June,Session #3,False,202,Queens,FMCP,2018-2019,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2018-2019,NYC Parks
January - March,Session #2,False,201,Queens,FMCP,2018-2019,NYC Parks
October - December,Session #1,False,203,Queens,Roy Wilkins,2018-2019,NYC Parks
January - March,Session #2,False,202,Brooklyn,Brownsville,2017-2018,NYC Parks
January - March,Session #2,False,204,Manhattan,Tony Dapolito,2017-2018,NYC Parks
January - March,Session #2,False,X01,Manhattan,Chelsea,2016-2017,NYC Parks
April - June,Session #3,False,203,Queens,FMCP,2017-2018,NYC Parks
April - June,Session #3,False,204,Brooklyn,St. John's,2016-2017,NYC Parks
April - June,Session #3,False,203,Brooklyn,St. John's,2016-2017,NYC Parks
April - June,Session #3,False,91,Brooklyn,Metropolitan,2017-2018,NYC Parks
October - December,Session #1,False,202,Brooklyn,Metropolitan,2018-2019,NYC Parks
January - March,Session #2,False,201,Brooklyn,Metropolitan,2020-2021,NYC Parks
April - June,Session #3,False,205,Manhattan,Tony Dapolito,2016-2017,NYC Parks
April - June,Session #3,False,204,Brooklyn,Brownsville,2016-2017,NYC Parks
October - December,Session #1,False,205,Manhattan,Gertrude Ederle,2016-2017,NYC Parks
October - December,Session #1,False,307,Manhattan,River Bank,2018-2019,NYC Parks
October - December,Session #1,False,"120, 129",Brooklyn,Brownsville,2016-2017,NYC Parks
January - March,Session #2,False,201,Queens,Roy Wilkins,2020-2021,NYC Parks
January - March,Session #2,False,204,Queens,FMCP,2018-2019,NYC Parks
January - March,Session #2,False,204,Queens,Roy Wilkins,2020-2021,NYC Parks
April - June,Session #3,False,201,Queens,FMCP,2017-2018,NYC Parks
October - December,Session #1,False,"k01, y61",Manhattan,Chelsea,2017-2018,NYC Parks
April - June,Session #3,False,201,Manhattan,Tony Dapolito,2017-2018,NYC Parks
January - March,Session #2,False,202,Brooklyn,Metropolitan,2018-2019,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,231,Queens,FMCP,2016-2017,NYC Parks
October - December,Session #1,False,231,Queens,FMCP,2016-2017,NYC Parks
January - March,Session #2,False,221,Queens,FMCP,2017-2018,NYC Parks
January - March,Session #2,False,204,Manhattan,Tony Dapolito,2017-2018,NYC Parks
April - June,Session #3,False,202,Brooklyn,Brownsville,2017-2018,NYC Parks
October - December,Session #1,False,204,Manhattan,Gertrude Ederle,2018-2019,NYC Parks
October - December,Session #1,False,202,Queens,Roy Wilkins,2019-2020,NYC Parks
January - March,Session #2,False,231,Queens,FMCP,2017-2018,NYC Parks
October - December,Session #1,False,213,Manhattan,Tony Dapolito,2017-2018,NYC Parks
January - March,Session #2,True,305,Brooklyn,Metropolitan,2020-2021,NYC Parks
January - March,Session #2,False,233,Queens,FMCP,2018-2019,NYC Parks
January - March,Session #2,False,202,Brooklyn,Brownsville,2018-2019,NYC Parks
October - December,Session #1,False,203,Queens,Roy Wilkins,2016-2017,NYC Parks
October - December,Session #1,False,202,Queens,Roy Wilkins,2019-2020,NYC Parks
october - december,Session #1,False,21/22,Bronx,St. Mary's,2016-2017,NYC Parks
October - December,Session #1,False,201,Brooklyn,Brownsville,2016-2017,NYC Parks
January - March,Session #2,False,202,Manhattan,Asser Levy,2020-2021,NYC Parks
January - March,Session #2,False,203,Queens,FMCP,2018-2019,NYC Parks
January - March,Session #2,False,205,Queens,FMCP,2018-2019,NYC Parks
