school,session,district,gender,class_number,training_entity,school_year,number_of_sessions_attended,training_site,first_day_of_class
Riverton Street Charter School,Session #1,29.0,Male,309,NYC Parks,2019-2020,5.0,River Bank,2019-10-11T00:00:00.000
P.S. 195,Session #1,29.0,Female,221,NYC Parks,2016-2017,10.0,FMCP,2016-10-19T00:00:00.000
P.S. 34,Session #3,,Male,201-209,NYC Parks,2017-2018,6.0,Asser Levy,2018-03-26T00:00:00.000
P.S. 181,Session #1,29.0,Female,201,NYC Parks,2018-2019,3.0,Roy Wilkins,2018-10-25T00:00:00.000
P.S. 115,Session #3,18.0,Female,K01,NYC Parks,2017-2018,6.0,Chelsea,2018-03-23T00:00:00.000
P.S.121,Session #3,28.0,Male,201,NYC Parks,2018-2019,12.0,FMCP,2019-03-27T00:00:00.000
P.S. 28,Session #3,24.0,Male,206,NYC Parks,2016-2017,8.0,FMCP,2017-03-29T00:00:00.000
P.S. 65,Session #1,7.0,Female,201,NYC Parks,2018-2019,5.0,St. Mary's,2018-10-10T00:00:00.000
P.S 75,Session #2,3.0,Male,202,NYC Parks,2018-2019,8.0,Metropolitan,2019-01-14T00:00:00.000
P.S. 52,Session #3,22.0,Male,204,NYC Parks,2016-2017,0.0,St. John's,2017-03-29T00:00:00.000
P.S. 165,Session #2,25.0,Female,232,NYC Parks,2016-2017,8.0,FMCP,2017-01-10T00:00:00.000
P.S. 028,Session #3,6.0,Male,201,NYC Parks,2018-2019,11.0,FMCP,2019-03-25T00:00:00.000
P.S. 38,Session #1,29.0,Male,201,NYC Parks,2016-2017,6.0,Roy Wilkins,2016-10-17T00:00:00.000
P.S. 316,Session #3,17.0,Female,2-1,NYC Parks,2016-2017,0.0,Metropolitan,2017-03-29T00:00:00.000
P.S. 704 Merrick Charter,Session #3,29.0,Female,203,NYC Parks,2017-2018,4.0,Roy Wilkins,2018-04-26T00:00:00.000
P.S. 372,Session #2,15.0,Male,201,NYC Parks,2016-2017,9.0,Metropolitan,2017-01-09T00:00:00.000
P.S. 256,Session #2,0.0,Male,201,NYC Parks,2020-2021,7.0,River Bank,2020-01-06T00:00:00.000
P.S. 677,Session #1,19.0,Female,014/011,NYC Parks,2018-2019,2.0,Brownsville,2018-10-08T00:00:00.000
P.S. 41,Session #3,23.0,Male,202,NYC Parks,2016-2017,0.0,Brownsville,2017-03-24T00:00:00.000
P.S. 121,Session #3,28.0,Male,221,NYC Parks,2016-2017,8.0,FMCP,2017-03-23T00:00:00.000
Riverton Street Charter School,Session #1,29.0,Female,2 QUINN HR-D,NYC Parks,2018-2019,2.0,Roy Wilkins,2018-10-15T00:00:00.000
P.S. 161,Session #3,5.0,Male,"216, 205, 207, 220, 214",NYC Parks,2016-2017,0.0,Hansborough,2017-03-23T00:00:00.000
PS 116,Session #1,29.0,Female,204,NYC Parks,2019-2020,7.0,Roy Wilkins,2019-10-16T00:00:00.000
P.S. 21,Session #1,16.0,Male,203,NYC Parks,2016-2017,9.0,St. John's,2016-10-11T00:00:00.000
PS 140,Session #2,28.0,Male,201,NYC Parks,2020-2021,2.0,Roy Wilkins,2020-01-07T00:00:00.000
P.S. 21,Session #3,16.0,Female,202,NYC Parks,2016-2017,0.0,St. John's,2017-03-27T00:00:00.000
PS151,Session #3,30.0,Male,202,NYC Parks,2018-2019,11.0,FMCP,2019-03-22T00:00:00.000
P.S. 316,Session #3,17.0,Male,2-1,NYC Parks,2016-2017,7.0,Metropolitan,2017-03-29T00:00:00.000
P.S. 325,Session #2,19.0,Female,201/202,NYC Parks,2016-2017,7.0,Brownsville,2017-01-09T00:00:00.000
P.S. 557,Session #1,19.0,Female,201,NYC Parks,2016-2017,9.0,Brownsville,2016-10-19T00:00:00.000
P.S. K004,Session #1,19.0,Male,609,NYC Parks,2017-2018,3.0,LIU,2017-10-13T00:00:00.000
P.S. 121,Session #2,28.0,Male,221,NYC Parks,2017-2018,7.0,FMCP,2018-01-03T00:00:00.000
P.S. 92,Session #3,5.0,Male,"201, 449",NYC Parks,2016-2017,8.0,Hansborough,2017-03-28T00:00:00.000
P.S. 316,Session #3,17.0,Male,2-2,NYC Parks,2016-2017,8.0,Metropolitan,2017-03-29T00:00:00.000
P.S. 535,Session #3,,Male,201,Partner Site,2016-2017,7.0,Fieldston,2017-04-20T00:00:00.000
P.S 110,Session #1,14.0,Male,203,NYC Parks,2019-2020,0.0,Metropolitan,2019-10-10T00:00:00.000
P.S. 133,Session #2,5.0,Female,307,NYC Parks,2020-2021,7.0,Tony Dapolito,2020-01-02T00:00:00.000
P.S. 151,Session #2,32.0,Male,202,NYC Parks,2017-2018,3.0,Metropolitan,2018-01-04T00:00:00.000
P.S. 129,Session #3,5.0,Female,,NYC Parks,2018-2019,9.0,Asser Levy,2019-03-25T00:00:00.000
P.S. K372,Session #1,15.0,Female,201,NYC Parks,2017-2018,8.0,Metropolitan,2017-10-13T00:00:00.000
P.S. 50,Session #2,4.0,Female,404,NYC Parks,2017-2018,5.0,Hansborough,2018-01-02T00:00:00.000
PS 52,Session #2,29.0,Female,201,NYC Parks,2020-2021,8.0,Roy Wilkins,2020-01-08T00:00:00.000
P.S. 18,Session #1,7.0,Male,202,NYC Parks,2016-2017,4.0,St. Mary's,2017-10-13T00:00:00.000
PS 136,Session #2,29.0,Female,201,NYC Parks,2020-2021,8.0,Roy Wilkins,2020-01-08T00:00:00.000
P.S. 184,Session #1,23.0,Female,203,NYC Parks,2017-2018,1.0,Brownsville,2017-10-10T00:00:00.000
