school,session,district,gender,class_number,training_entity,school_year,number_of_sessions_attended,training_site,first_day_of_class
P.S. 38,Session #1,29.0,Male,202,NYC Parks,2019-2020,2.0,Roy Wilkins,2019-10-08T00:00:00.000
P.S. 184,Session #1,23.0,Male,202,NYC Parks,2018-2019,2.0,Brownsville,2018-10-11T00:00:00.000
Jacob Blackwell,Session #1,30.0,Male,202,NYC Parks,2019-2020,6.0,Metropolitan,2019-10-09T00:00:00.000
PS 59,Session #2,14.0,Male,202,NYC Parks,2020-2021,6.0,Metropolitan,2020-01-07T00:00:00.000
PS 277,Session #2,7.0,Male,201,NYC Parks,2020-2021,6.0,St. Mary's,2020-01-06T00:00:00.000
P.S 178,Session #1,6.0,Female,307,NYC Parks,2019-2020,7.0,River Bank,2019-10-09T00:00:00.000
Hellen M. Marshall,Session #1,24.0,Female,201,NYC Parks,2019-2020,9.0,Roy Wilkins,2019-10-08T00:00:00.000
P.S. K372,Session #1,15.0,Male,201,NYC Parks,2017-2018,7.0,Metropolitan,2017-10-13T00:00:00.000
P.S. 21,Session #2,16.0,Male,203,NYC Parks,2017-2018,6.0,Brownsville,2018-01-02T00:00:00.000
Merrick Charter School - P.S. 704,Session #1,29.0,Female,202,NYC Parks,2018-2019,7.0,Roy Wilkins,2018-10-11T00:00:00.000
P.S 282,Session #2,13.0,Male,202,NYC Parks,2020-2021,2.0,Asser Levy,2020-01-06T00:00:00.000
P.S. 361 Childrens Workshop,Session #1,1.0,Female,603,NYC Parks,2018-2019,6.0,Asser Levy,2018-10-08T00:00:00.000
P.S 47,Session #1,12.0,Male,251,NYC Parks,2019-2020,10.0,Gertrude Ederle,2019-10-09T00:00:00.000
P.S. 47,Session #1,,Female,203,NYC Parks,2016-2017,8.0,Gertrude Ederle,2017-10-16T00:00:00.000
PS151,Session #3,30.0,Female,210,NYC Parks,2018-2019,7.0,FMCP,2019-03-26T00:00:00.000
P.S. 121,Session #2,28.0,Female,2-417,NYC Parks,2016-2017,9.0,FMCP,2017-01-09T00:00:00.000
P.S. 50,Session #2,4.0,Female,404,NYC Parks,2017-2018,3.0,Hansborough,2018-01-02T00:00:00.000
P.S 137,Session #2,23.0,Male,202,NYC Parks,2018-2019,4.0,Metropolitan,2019-01-14T00:00:00.000
P.S. 50,Session #2,4.0,Female,404,NYC Parks,2017-2018,5.0,Hansborough,2018-01-02T00:00:00.000
P.S. 53,Session #3,9.0,Female,205,NYC Parks,2016-2017,0.0,Asser Levy,2017-03-27T00:00:00.000
P.S. 186,Session #2,20.0,Female,236,NYC Parks,2018-2019,6.0,FMCP,2019-01-14T00:00:00.000
P.S 226,Session #1,10.0,Male,301,NYC Parks,2019-2020,4.0,River Bank,2019-10-11T00:00:00.000
P.S. 26,Session #3,16.0,Male,201,NYC Parks,2017-2018,10.0,Metropolitan,2018-03-23T00:00:00.000
P.S. 104Q,Session #1,27.0,Female,204,NYC Parks,2017-2018,8.0,Far Rockaway,2017-10-10T00:00:00.000
P4K@65,Session #1,19.0,Male,"Y44, Y23",NYC Parks,2018-2019,3.0,LIU,2018-10-26T00:00:00.000
P.S. 195,Session #1,29.0,Male,221,NYC Parks,2017-2018,9.0,FMCP,2017-10-12T00:00:00.000
P.S. 115,Session #1,18.0,Male,120,NYC Parks,2016-2017,5.0,Brownsville,2016-10-17T00:00:00.000
P.S. 138M @30M,Session #3,5.0,Male,Y27,NYC Parks,2016-2017,0.0,Chelsea,2017-03-29T00:00:00.000
P.S. 256 Heketi Community Charter School,Session #3,7.0,Male,201,NYC Parks,2017-2018,4.0,St. Mary's,2018-03-28T00:00:00.000
P.S. 133,Session #2,13.0,Female,311,NYC Parks,2017-2018,6.0,Tony Dapolito,2018-01-02T00:00:00.000
P.S 137,Session #2,23.0,Male,202,NYC Parks,2018-2019,6.0,Metropolitan,2019-01-14T00:00:00.000
P.S. 111,Session #3,2.0,Male,201,NYC Parks,2016-2017,0.0,Gertrude Ederle,2017-03-29T00:00:00.000
P.S 059,Session #2,2.0,Female,202,NYC Parks,2018-2019,7.0,Metropolitan,2019-01-14T00:00:00.000
P.S 327,Session #2,23.0,Female,204,NYC Parks,2020-2021,5.0,Brownsville,2020-01-13T00:00:00.000
P.S. 323,Session #3,23.0,Female,202,NYC Parks,2016-2017,7.0,Brownsville,2017-03-24T00:00:00.000
P.S. 123,Session #1,32.0,Female,206,NYC Parks,2017-2018,7.0,Tony Dapolito,2017-10-10T00:00:00.000
P.S. 116,Session #1,29.0,Male,203,NYC Parks,2016-2017,7.0,Roy Wilkins,2016-10-20T00:00:00.000
P.S. 55Q,Session #3,,Female,215/232/229,NYC Parks,2017-2018,7.0,FMCP,2018-03-26T00:00:00.000
PS 116,Session #1,29.0,Male,204,NYC Parks,2019-2020,9.0,Roy Wilkins,2019-10-16T00:00:00.000
P.S. 178,Session #1,23.0,Female,205,NYC Parks,2017-2018,7.0,Chelsea,2017-10-13T00:00:00.000
P.S. 219,Session #3,25.0,Female,202,NYC Parks,2016-2017,9.0,FMCP,2017-03-28T00:00:00.000
P.S. 21,Session #1,16.0,Female,202,NYC Parks,2017-2018,6.0,Brownsville,2017-10-10T00:00:00.000
P.S. 28,Session #1,24.0,Male,204,NYC Parks,2016-2017,9.0,FMCP,2017-10-16T00:00:00.000
P4K@65,Session #2,65.0,Female,Y44,NYC Parks,2018-2019,2.0,Metropolitan,2019-01-14T00:00:00.000
P.S. 155,Session #1,27.0,Female,201,NYC Parks,2016-2017,9.0,Roy Wilkins,2016-10-17T00:00:00.000
P.S. 677,Session #3,,Female,204-0231,NYC Parks,2017-2018,4.0,Brownsville,2018-03-23T00:00:00.000
P.S. 195,Session #1,29.0,Male,221,NYC Parks,2016-2017,7.0,FMCP,2016-10-19T00:00:00.000
P.S 157,Session #2,14.0,Male,2DL,NYC Parks,2018-2019,6.0,Asser Levy,2019-01-14T00:00:00.000
P.S. 47,Session #2,12.0,Female,207,NYC Parks,2016-2017,4.0,Gertrude Ederle,2017-01-04T00:00:00.000
P.S 226,Session #1,10.0,Male,301,NYC Parks,2019-2020,5.0,River Bank,2019-10-10T00:00:00.000
P.S. 176,Session #3,29.0,Female,202,NYC Parks,2017-2018,10.0,FMCP,2018-03-23T00:00:00.000
P.S 116,Session #1,29.0,Female,201,NYC Parks,2019-2020,7.0,Roy Wilkins,2019-10-10T00:00:00.000
P.S. 20,Session #2,13.0,Female,201,NYC Parks,2016-2017,9.0,St. John's,2017-01-09T00:00:00.000
P.S. 219,Session #2,18.0,Female,201,NYC Parks,2020-2021,1.0,Metropolitan,2020-01-08T00:00:00.000
P.S 75,Session #2,3.0,Female,202,NYC Parks,2018-2019,4.0,Metropolitan,2019-01-14T00:00:00.000
PS 186,Session #2,26.0,Male,201,NYC Parks,2020-2021,7.0,Roy Wilkins,2020-01-06T00:00:00.000
P.S 382,Session #2,10.0,Male,021,NYC Parks,2018-2019,7.0,St. Mary's,2019-01-14T00:00:00.000
P.S 595,Session #1,12.0,Male,315,NYC Parks,2019-2020,5.0,River Bank,2019-10-11T00:00:00.000
P.S. 47,Session #1,2.0,Male,207,NYC Parks,2018-2019,4.0,Gertrude Ederle,2018-10-10T00:00:00.000
P.S.28,Session #3,24.0,Female,202,NYC Parks,2018-2019,12.0,FMCP,2019-03-22T00:00:00.000
P.S 136,Session #2,29.0,Female,202,NYC Parks,2018-2019,10.0,Roy Wilkins,2019-01-14T00:00:00.000
P.S 043,Session #2,7.0,Female,201,NYC Parks,2018-2019,9.0,St. Mary's,2019-01-14T00:00:00.000
P.S 52,Session #2,22.0,Female,205,NYC Parks,2017-2018,6.0,St. John's,2018-01-03T00:00:00.000
P.S. 189,Session #2,6.0,Female,205,NYC Parks,2016-2017,7.0,River Bank,2017-01-06T00:00:00.000
P.S 278,Session #2,6.0,Male,200,NYC Parks,2018-2019,3.0,Hansborough,2019-01-14T00:00:00.000
P.S. 28,Session #2,24.0,Male,201,NYC Parks,2017-2018,4.0,FMCP,2018-01-04T00:00:00.000
P.S. 121,Session #1,28.0,Female,201,NYC Parks,2016-2017,7.0,FMCP,2016-10-14T00:00:00.000
P.S. 316,Session #3,17.0,Male,2-3,NYC Parks,2016-2017,7.0,Metropolitan,2017-03-27T00:00:00.000
P.S 278,Session #2,6.0,Male,200,NYC Parks,2018-2019,4.0,Hansborough,2019-01-14T00:00:00.000
P.S 110,Session #1,14.0,Female,204,NYC Parks,2019-2020,8.0,Metropolitan,2019-10-08T00:00:00.000
P.S. 12,Session #1,17.0,Male,202,NYC Parks,2017-2018,5.0,St. John's,2017-10-12T00:00:00.000
P.S. 158,Session #2,19.0,Female,902/903,NYC Parks,2016-2017,8.0,St. John's,
P.S. 111,Session #3,2.0,Female,201,NYC Parks,2016-2017,0.0,Gertrude Ederle,2017-03-29T00:00:00.000
P.S. 36,Session #1,29.0,Male,202,NYC Parks,2016-2017,6.0,Roy Wilkins,2016-10-11T00:00:00.000
P.S. 184,Session #1,23.0,Female,201,NYC Parks,2016-2017,9.0,Brownsville,2016-10-13T00:00:00.000
P.S. 361 Chrildren Workshop,Session #1,1.0,Female,601,NYC Parks,2018-2019,6.0,Asser Levy,2018-10-08T00:00:00.000
P.S. 38,Session #1,29.0,Male,201,NYC Parks,2017-2018,1.0,Roy Wilkins,2017-10-16T00:00:00.000
P.S. 134Q,Session #1,29.0,Male,291/ 231,NYC Parks,2016-2017,3.0,Roy Wilkins,2016-10-13T00:00:00.000
P.S. 53,Session #3,9.0,Male,205,NYC Parks,2016-2017,7.0,Asser Levy,2017-03-27T00:00:00.000
P.S. 133,Session #2,5.0,Male,410,NYC Parks,2020-2021,8.0,Tony Dapolito,2020-01-07T00:00:00.000
P.S. 82,Session #2,28.0,Female,204,NYC Parks,2016-2017,9.0,Roy Wilkins,2017-01-04T00:00:00.000
PS104,Session #3,27.0,Male,419,NYC Parks,2018-2019,11.0,FMCP,2019-03-25T00:00:00.000
P.S. 165,Session #2,25.0,Male,232,NYC Parks,2016-2017,6.0,FMCP,2017-01-10T00:00:00.000
P4K,Session #2,75.0,Male,309,NYC Parks,2017-2018,1.0,Metropolitan,2018-01-08T00:00:00.000
Riverton Charter School,Session #3,29.0,Male,Dartmoth,NYC Parks,2016-2017,0.0,Roy Wilkins,2017-03-23T00:00:00.000
P.S 557,Session #2,15.0,Female,201,NYC Parks,2020-2021,3.0,Brownsville,2020-01-06T00:00:00.000
P.S. 123,Session #2,32.0,Female,213,NYC Parks,2016-2017,6.0,Tony Dapolito,2017-01-10T00:00:00.000
P.S. 244K,Session #1,18.0,Female,404,NYC Parks,2016-2017,5.0,FMCP,2016-10-19T00:00:00.000
P.S. 214,Session #2,19.0,Female,203,NYC Parks,2017-2018,8.0,St. John's,2018-01-04T00:00:00.000
P.S. 201,Session #3,25.0,Male,231,NYC Parks,2016-2017,8.0,FMCP,2017-03-23T00:00:00.000
The Heketi School,Session #3,7.0,Female,201,NYC Parks,2018-2019,10.0,St. Mary's,2019-03-27T00:00:00.000
P.S. 201,Session #3,,Male,201-203,NYC Parks,2017-2018,5.0,FMCP,2018-03-23T00:00:00.000
PS 628,Session #1,16.0,Female,200,NYC Parks,2019-2020,7.0,Metropolitan,2019-11-06T00:00:00.000
P.S. 256 Heketi Community Charter School,Session #3,7.0,Female,202,NYC Parks,2016-2017,9.0,St. Mary's,2017-03-24T00:00:00.000
P.S 047,Session #2,12.0,Male,206,NYC Parks,2018-2019,7.0,Gertrude Ederle,2019-01-14T00:00:00.000
P.S 52,Session #3,22.0,Male,203,NYC Parks,2017-2018,7.0,St. John's,2018-03-28T00:00:00.000
P.S. 557,Session #1,19.0,Male,201,NYC Parks,2016-2017,5.0,Brownsville,2016-10-19T00:00:00.000
P.S. 47,Session #1,,Female,203,NYC Parks,2016-2017,5.0,Gertrude Ederle,2017-10-16T00:00:00.000
The Heketi School,Session #3,7.0,Male,202,NYC Parks,2018-2019,9.0,St. Mary's,2019-03-22T00:00:00.000
East Harlem Scholar Academy,Session #1,,Male,201,NYC Parks,2016-2017,6.0,Boys and Girls Harbor,2016-10-17T00:00:00.000
P.S. 318,Session #2,5.0,Male,201,NYC Parks,2020-2021,5.0,River Bank,2020-01-03T00:00:00.000
P.S. 41,Session #3,23.0,Female,202,NYC Parks,2016-2017,0.0,Brownsville,2017-03-24T00:00:00.000
P.S 165,Session #2,3.0,Female,221,NYC Parks,2018-2019,4.0,FMCP,2019-01-14T00:00:00.000
PS 277,Session #2,7.0,Male,202,NYC Parks,2020-2021,7.0,St. Mary's,2020-01-03T00:00:00.000
Ms 394,Session #2,17.0,Female,201,NYC Parks,2018-2019,9.0,Brownsville,2019-01-14T00:00:00.000
PS 151,Session #2,32.0,Female,201,NYC Parks,2019-2020,6.0,Metropolitan,2020-01-07T00:00:00.000
Riverton Charter School,Session #3,29.0,Male,2 Quinn HR-D,NYC Parks,2017-2018,6.0,Roy Wilkins,2018-04-27T00:00:00.000
P.S 52,Session #2,22.0,Male,205,NYC Parks,2017-2018,8.0,St. John's,2018-01-03T00:00:00.000
P.S. 677,Session #1,19.0,Female,014/011,NYC Parks,2018-2019,6.0,Brownsville,2018-10-08T00:00:00.000
P.S 123,Session #1,32.0,Male,205,NYC Parks,2019-2020,6.0,Metropolitan,2019-10-07T00:00:00.000
P.S. 316,Session #3,17.0,Female,2-3,NYC Parks,2016-2017,0.0,Metropolitan,2017-03-27T00:00:00.000
PS 21,Session #1,25.0,Male,202,NYC Parks,2019-2020,2.0,St. John's,2019-10-07T00:00:00.000
P.S. 92,Session #3,17.0,Female,203,NYC Parks,2016-2017,9.0,St. John's,2017-03-29T00:00:00.000
P.S. 156,Session #1,23.0,Female,239,NYC Parks,2016-2017,8.0,Brownsville,2016-10-14T00:00:00.000
P.S. 18,Session #1,7.0,Female,202,NYC Parks,2017-2018,3.0,St. Mary's,2017-10-13T00:00:00.000
P.S 045,Session #2,27.0,Male,201,NYC Parks,2018-2019,7.0,Metropolitan,2019-01-14T00:00:00.000
P.S 446,Session #2,23.0,Male,2-311,NYC Parks,2018-2019,5.0,Brownsville,2019-01-14T00:00:00.000
P.S 270,Session #2,13.0,Female,201,NYC Parks,2018-2019,8.0,Tony Dapolito,2019-01-14T00:00:00.000
P.S. 446,Session #2,23.0,Male,202,NYC Parks,2017-2018,7.0,Brownsville,2018-01-03T00:00:00.000
P.S. 110,Session #1,14.0,Male,202,NYC Parks,2016-2017,8.0,Metropolitan,2016-10-17T00:00:00.000
P.S. 677,Session #1,19.0,Male,202 & 205,NYC Parks,2017-2018,0.0,St. John's,2017-10-13T00:00:00.000
P.S. 28,Session #3,,Male,202,NYC Parks,2017-2018,9.0,FMCP,2018-03-26T00:00:00.000
P.S. 133,Session #2,13.0,Female,201,NYC Parks,2016-2017,4.0,Hansborough,2017-01-05T00:00:00.000
P.S. 251,Session #2,29.0,Female,2290,NYC Parks,2016-2017,6.0,Roy Wilkins,2017-01-06T00:00:00.000
P.S. 47,Session #2,2.0,Male,205,NYC Parks,2017-2018,10.0,Gertrude Ederle,2018-01-08T00:00:00.000
P.S. 226,Session #1,2.0,Male,"X01, Y52",NYC Parks,2018-2019,4.0,Gertrude Ederle,2018-10-10T00:00:00.000
P.S. 118,Session #2,29.0,Male,201,NYC Parks,2016-2017,9.0,Roy Wilkins,2009-01-16T00:00:00.000
P.S. 38,Session #1,15.0,Female,240,NYC Parks,2017-2018,7.0,Asser Levy,2017-10-10T00:00:00.000
P.S. 156,Session #3,29.0,Male,201,NYC Parks,2016-2017,0.0,Roy Wilkins,2017-03-27T00:00:00.000
P.S. 20,Session #2,13.0,Female,202,NYC Parks,2016-2017,10.0,St. John's,2017-01-04T00:00:00.000
P.S. 104,Session #2,27.0,Female,202,NYC Parks,2020-2021,9.0,Roy Wilkins,2020-01-02T00:00:00.000
P.S. 251,Session #1,29.0,Male,231,NYC Parks,2017-2018,6.0,Roy Wilkins,2017-10-13T00:00:00.000
P.S. 20,Session #2,13.0,Male,203,NYC Parks,2016-2017,9.0,St. John's,2017-01-05T00:00:00.000
P.S. 104,Session #2,27.0,Male,202,NYC Parks,2020-2021,6.0,Roy Wilkins,2020-01-02T00:00:00.000
P.S. 21,Session #2,16.0,Female,204,NYC Parks,2016-2017,7.0,St. John's,
P.S. 677,Session #3,,Female,204-0231,NYC Parks,2017-2018,10.0,Brownsville,2018-03-23T00:00:00.000
P.S. 677,Session #2,19.0,Female,011,NYC Parks,2020-2021,2.0,Brownsville,2020-01-06T00:00:00.000
P.S. 28,Session #3,,Male,201,NYC Parks,2017-2018,10.0,FMCP,2018-03-26T00:00:00.000
P.S. 165,Session #2,25.0,Female,232,NYC Parks,2017-2018,5.0,FMCP,2018-01-05T00:00:00.000
P.S. 186,Session #3,,Male,203,NYC Parks,2017-2018,8.0,FMCP,2018-03-23T00:00:00.000
P.S. 136,Session #2,29.0,Male,231,NYC Parks,2020-2021,9.0,Roy Wilkins,2020-01-02T00:00:00.000
P.S. 123,Session #1,32.0,Female,215,NYC Parks,2016-2017,8.0,Tony Dapolito,2016-10-11T00:00:00.000
P.S 382,Session #3,10.0,Male,,NYC Parks,2018-2019,11.0,St. Mary's,2019-03-25T00:00:00.000
P.S 226,Session #1,10.0,Male,301,NYC Parks,2019-2020,7.0,River Bank,2019-10-07T00:00:00.000
P.S. 399,Session #3,17.0,Female,202,NYC Parks,2016-2017,9.0,Brownsville,2017-03-29T00:00:00.000
P.S. 123,Session #1,32.0,Female,205,NYC Parks,2016-2017,9.0,Tony Dapolito,2016-10-11T00:00:00.000
P.S. 123,Session #1,32.0,Male,215,NYC Parks,2016-2017,8.0,Tony Dapolito,2016-10-11T00:00:00.000
P.S. 189,Session #2,6.0,Female,205,NYC Parks,2016-2017,7.0,River Bank,2017-01-06T00:00:00.000
PS28,Session #3,24.0,Male,203,NYC Parks,2018-2019,8.0,FMCP,2019-03-26T00:00:00.000
"P.S, 21",Session #3,,Female,202,NYC Parks,2017-2018,7.0,Roy Wilkins,2018-03-23T00:00:00.000
P.S 115,Session #1,19.0,Male,201,NYC Parks,2019-2020,8.0,Brownsville,2019-10-11T00:00:00.000
P.S. 075,Session #1,3.0,Male,201,NYC Parks,2019-2020,6.0,St. John's,2019-10-08T00:00:00.000
P.S. 178,Session #1,6.0,Male,205,NYC Parks,2016-2017,8.0,Chelsea,2016-10-14T00:00:00.000
P.S. 361M The Children's Workshop,Session #1,1.0,Female,604,NYC Parks,2017-2018,6.0,Asser Levy,2017-10-16T00:00:00.000
Riverton Charter School,Session #3,29.0,Female,2 Quinn HR-D,NYC Parks,2017-2018,4.0,Roy Wilkins,2018-04-27T00:00:00.000
P.S 21,Session #1,16.0,Female,122/124,NYC Parks,2019-2020,5.0,Asser Levy,2019-10-07T00:00:00.000
P.S. 86,Session #1,32.0,Female,203,NYC Parks,2016-2017,6.0,Metropolitan,2016-10-11T00:00:00.000
P.S. 104Q,Session #1,27.0,Male,204,NYC Parks,2016-2017,9.0,FMCP,2016-10-11T00:00:00.000
P.S. 557,Session #1,,Female,201,NYC Parks,2017-2018,0.0,Brownsville,2017-10-11T00:00:00.000
P.S. 244K,Session #1,18.0,Female,404,NYC Parks,2017-2018,11.0,FMCP,2017-10-11T00:00:00.000
P.S. 82,Session #1,28.0,Female,203,NYC Parks,2017-2018,6.0,Roy Wilkins,2017-10-11T00:00:00.000
P.S. 024,Session #2,15.0,Female,201,NYC Parks,2018-2019,6.0,FMCP,2019-01-14T00:00:00.000
P.S. 189,Session #3,6.0,Male,221,NYC Parks,2016-2017,0.0,Hansborough,2017-03-28T00:00:00.000
P.S. 138,Session #1,5.0,Female,X03,NYC Parks,2018-2019,4.0,Hansborough,2018-10-11T00:00:00.000
P.S. 189,Session #1,17.0,Male,202,NYC Parks,2017-2018,9.0,Hansborough,2017-10-10T00:00:00.000
P.S. 219,Session #1,25.0,Male,201,NYC Parks,2018-2019,4.0,FMCP,2018-10-16T00:00:00.000
PS 262,Session #1,16.0,Male,201,NYC Parks,2019-2020,5.0,St. John's,2019-11-01T00:00:00.000
P.S 557,Session #1,18.0,Male,202,NYC Parks,2019-2020,3.0,Brownsville,2019-10-11T00:00:00.000
P.S 270,Session #2,13.0,Female,201,NYC Parks,2018-2019,9.0,Tony Dapolito,2019-01-14T00:00:00.000
PS 52,Session #1,22.0,Male,201,NYC Parks,2019-2020,6.0,Metropolitan,2019-10-09T00:00:00.000
P.S. 20,Session #3,,Male,202,NYC Parks,2017-2018,9.0,Metropolitan,2018-03-29T00:00:00.000
Riverton Street Charter School,Session #2,29.0,Female,201,NYC Parks,2020-2021,7.0,Roy Wilkins,2020-01-03T00:00:00.000
P.S. 233,Session #3,,Female,201,NYC Parks,2017-2018,8.0,Brownsville,2018-03-23T00:00:00.000
P.S. 195,Session #1,29.0,Female,201,NYC Parks,2018-2019,8.0,FMCP,2018-10-17T00:00:00.000
P.S. 82,Session #2,28.0,Female,204,NYC Parks,2020-2021,6.0,Roy Wilkins,2020-01-02T00:00:00.000
P.S. 161,Session #1,5.0,Male,201,NYC Parks,2016-2017,6.0,Hansborough,2016-10-13T00:00:00.000
P.S. 361,Session #3,,Male,201,NYC Parks,2017-2018,8.0,Brownsville,2018-03-26T00:00:00.000
P.S. 197,Session #3,,Male,201,NYC Parks,2017-2018,7.0,Chelsea,2018-03-28T00:00:00.000
P.S. 161,Session #2,,Female,205,NYC Parks,2017-2018,2.0,Hansborough,2018-01-04T00:00:00.000
P.S.024,Session #3,25.0,Female,231,NYC Parks,2018-2019,,FMCP,
PS28,Session #3,24.0,Female,203,NYC Parks,2018-2019,8.0,FMCP,2019-03-26T00:00:00.000
P.S.28,Session #3,24.0,Female,201,NYC Parks,2018-2019,10.0,FMCP,2019-03-25T00:00:00.000
P.S. 123,Session #2,32.0,Male,213,NYC Parks,2016-2017,7.0,Tony Dapolito,2017-01-10T00:00:00.000
P.S. 394,Session #1,17.0,Female,202,NYC Parks,2017-2018,6.0,Brownsville,2017-10-12T00:00:00.000
P.S. 214,Session #3,19.0,Male,206,NYC Parks,2016-2017,0.0,St. John's,2017-03-23T00:00:00.000
P.S. 115,Session #3,18.0,Female,203,NYC Parks,2016-2017,8.0,Brownsville,2017-03-23T00:00:00.000
PS 691,Session #3,12.0,Male,202,NYC Parks,2018-2019,10.0,Gertrude Ederle,2019-03-25T00:00:00.000
