city,borough,title,foundry,fabricator,primary_architect_first,landscape_architect_last,artwork_type1,location_name,landscape_architect_middle,lot,date_created_approximation,primary_artist_first,date_dedicated,date_dedicated_approximation,secondary_artist_first,inscription,pdc_records,secondary_artist_last,material,subject_keyword,primary_architect_middle,date_created,landscape_architect_first,primary_artist_last,block,secondary_architect_last,address,secondary_architect_middle,artwork_type2,alternate_title,secondary_architect_first,latitude,state
Bronx,Bronx,Poor Fish,,,Aymar,,Bas-relief roundel,Crotona Pool Bath House,,1.0,Y,Frederick,1936,N,,,177,,Stone,"Animals, WPA, Bathhouse",,1936,,Roth,2941,,173rd Street and Fulton Avenue,,Artwork,,,40.839942,NY
New York,Manhattan,Group of Bears,Paul King Foundry,,,,Statue,Central Park,,1.0,N,Paul,1990,N,,GROUP OF BEARS / PAUL MANSHIP 1885-1966 / ORIGINAL BRONZE CAST 1932 / THIS BRONZE CAST 1989 / A GIFT BY SAMUEL N. FRIEDMAN / IN MEMORY OF HIS BELOVED WIFE / PAT HOFFMAN FRIEDMAN,5177,,"Bronze, granite",Animals,,1989,,Manship,1111,,Fifth Avenue and 79th Street,,Artwork,,,40.777487,NY
Rockaway Park,Queens,Rockaway Mosaic,,City Arts Workshop,,,Mosaic,Rockaway Park,,,Y,Ann,1981,N,,"MOSAIC DESIGNS BY ANN EVANS 1981 / PRODUCED BY CITYARTS WORKSHOP INC. / WITH A GRANT FROM THE NEW YORK CITY / DEPARTMENT OF CULTURAL AFFAIRS COMMUNITY / ARTS DEVELOPMENT PROGRAM AND THE / OFFICE OF NEIGHBORHOOD ECONOMIC / DEVELOPMENT, O.E.D. FUNDED BY / THE UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT COMMUNITY / DEVELOPMENT BLOCK GRANT PROGRAM. / MOSAICS PRESENTED IN COOPERATION WITH THE NEW YORK CITY DEPARTMENT OF PARKS / AND RECREATION AND THE CHAMBER OF / COMMERCE OF THE ROCKAWAYS.",2530,,Brick,"Beach, Summer, Mosaic, Recreation",,1981,,Evans,,,Ocean Promenade and East 116th Street,,Artwork,,,40.577715,NY
Brooklyn,Brooklyn,Mowgli Rides the Bull Against the Tiger,,,Aymar,,Bas-relief,Prospect Park Zoo,,1.0,N,Frederick,1935,N,,Signed: F.G.R. ROTH,832,,Indiana limestone,"Children, Literary Character, WPA",,1935,,Roth,1117,,450 Flatbush Avenue,,Artwork,,,40.665417,NY
Bronx,Bronx,Pete McArdle,,,Al,,Installation,Van Cortlandt Park,,150.0,N,,1986,N,,FINISH LINE / PETE MCARDLE,628,,"Aluminum, granite","Athlete, Sports, Immigrant, Irish, Runner",,1986,,,5900,,Broadway and West 251nd Street,,Artwork/Memorial,,,40.894001,NY
Brooklyn,Brooklyn,Ulysses Simpson Grant,"M.H. Mosman, Chicopee, MA",,,,Statue,Grant Square Gore,,20.0,N,William,1896,N,,"Pedestal front: GRANT

Pedestal rear: PRESENTED / TO THE CITY / BY THE UNION LEAGUE CLUB / OF BROOKLYN / APRIL 27TH 1896",5165,,"Bronze, dark Barre granite","Ukrainian, World War II, War, Equestrian",,1896,,Partridge,1218,,Bergen Street between Bedford and Rogers Avenue,,Monument/Memorial,,,40.676694,NY
Bronx,Bronx,Bronx Victory Memorial,,,A.S.,,Statue,Mosholu Parkway,,,N,Jerome,1925,N,,"Pedestal: ERECTED BY THE CITIZENS / AND PATRIOTIC FRIENDS / TO THE MEMORY OF / THOSE OF THE BRONX / WHO SERVED AND TO THOSE / WHO FOUGHT AND DIED / IN THE WORLD WAR / THAT THE LIBERTY AND / THE IDEALS OF OUR / COUNTRY MIGHT ENDURE / MCMXXV Integral base: EAGLE BRONZE WORKS, INC. FOR J.W. FISK IRON WORKS, NEW YORK",1330,,"Bronze, Rockport granite, Deer Isle granite","World War I, War",,1925,,Connor,,,Mosholu Parkway and Marion Avenue,,Monument/Memorial,,,40.871083,NY
New York,Manhattan,Gay Liberation,"Johnson Atelier, Hamilton Township, NJ",,,Winslow,Statues,Christopher Park,N.,87.0,N,George,1992,N,,GAY LIBERATION / BY / GEORGE SEGAL / BRONZE CAST -- 1980 / DEDICATED -- 1992 /---/ GIFT OF THE MILDRED ANDREWS FUND / TO THE CITY OF NEW YORK,1314,,Lacquered bronze,"LGBTQ+, Stonewall Inn, Gay Liberation, Gay Rights",,1980,Philip,Segal,592,,"Christopher Street, Grove Street and West 4th Street",,Artwork,,,40.733585,NY
New York,Manhattan,General Philip Henry Sheridan,,,,,Statue,Christopher Park,,87.0,N,Joseph,1936,N,,"GENERAL PHILIP HENRY / SHERIDAN / 1831-1888 Right of pedestal: ""HE BELONGS TO THE FIRST RANK / OF SOLIDERS. NOT ONLY OF OUR / COUNTRY BUT OF THE WORLD"" / U.S. GRANT Left of pedestal: ERECTED BY THE GENERAL SHERIDAN / MEMORIAL ASSOCIATION AND HIS COMRADES OF THE G.A.R.",1314,,"Bronze, granite","American Civil War, Military, War",,1936,,Pollia,592,,West 4th Street and Grove Street,,Monument/Memorial,,,40.733639,NY
New York,Manhattan,Fiorello H. La Guardia,,,,,"Bust, pedestal",Little Flower Playground,,12.0,N,Jo,1957,N,,"FIORELLO LA GUARDIA / 1882-1947 / STATESMAN / HUMANITARIAN / AVIATOR / MAYOR OF / THE CITY OF NEW YORK / 1934-1945 / I HAVE FOUGHT A GOOD FIGHT / I HAVE FINISHED MY COURSE / I HAVE KEPT THE FAITH / *** II TIMOTH IV. 7 / THIS MEMORIAL / ERECTED BY / THE LA GUARDIA/
MEMORIAL ASSOCIATION / 1957",2939,,"Bronze, granite","Mayor, politician, public servant",,1934,,Davidson,255,,Madison Street and Jefferson Street,,Monument/Memorial,,,40.712390,NY
