architect,ApproxDate,RecordIDs,ArchMiddle,artists_keyword,primary_architect_last,primary_artist_middle,SubjectTags,EngravingText,longitude,state,BlkNum,acquisition,architecture_firm,borough_x,ArtForm,zip_code,ArtistGiven,landscape_architect,Medium,secondary_artist_middle,LotID,foundry,managing_city_agency
,True,177,,American,Embury II,George Richard,"animals, wpa, bathhouse",,-73.898056,NY,2941,Purchased with Works Progress Administration Funds,,Bronx,Bas-Relief Roundel,10457,Frederick,,Stone,,1.0,,Department of Parks and Recreation
,False,5177,,American,,Howard,animals,GROUP OF BEARS / PAUL MANSHIP 1885-1966 / ORIGINAL BRONZE CAST 1932 / THIS BRONZE CAST 1989 / A GIFT BY SAMUEL N. FRIEDMAN / IN MEMORY OF HIS BELOVED WIFE / PAT HOFFMAN FRIEDMAN,-73.963956,NY,1111,Gift of Samuel Friedman,Bruce Kelly/David Varnell,Manhattan,Statue,10028,Paul,,Bronze,,1.0,Paul King Foundry,Department of Parks and Recreation
,True,2530,,"Woman, American",,,"beach, summer, mosaic, recreation","MOSAIC DESIGNS BY ANN EVANS 1981 / PRODUCED BY CITYARTS WORKSHOP INC. / WITH A GRANT FROM THE NEW YORK CITY / DEPARTMENT OF CULTURAL AFFAIRS COMMUNITY / ARTS DEVELOPMENT PROGRAM AND THE / OFFICE OF NEIGHBORHOOD ECONOMIC / DEVELOPMENT, O.E.D. FUNDED BY / THE UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT COMMUNITY / DEVELOPMENT BLOCK GRANT PROGRAM. / MOSAICS PRESENTED IN COOPERATION WITH THE NEW YORK CITY DEPARTMENT OF PARKS / AND RECREATION AND THE CHAMBER OF / COMMERCE OF THE ROCKAWAYS.",-73.835982,NY,,Commissioned through Department of Cultural Affairs Community Art Development Program,,Queens,Mosaic,11694,Ann,,Brick,,,,Department of Parks and Recreation
,False,832,,American,Embury II,George Richard,"children, literary character, wpa",Signed: F.G.R. ROTH,", -73.965333",NY,1117,Commissioned by The City of New York through The Temporary Emergency Relief Administration,,Brooklyn,Bas-Relief,11225,Frederick,,Limestone,,1.0,,Department of Parks and Recreation
,False,628,,,Puma,,"athlete, sports, immigrant, irish, runner",FINISH LINE / PETE MCARDLE,-73.896050,NY,5900,Gift of Pete McArdle Memorial Committee,S. Puma Co. Inc.,Bronx,Installation,10471,,,Granite,,150.0,,Department of Parks and Recreation
,False,5165,,American,,Ordway,"ukrainian, world war ii, war, equestrian",Pedestal front: GRANT Pedestal rear: PRESENTED / TO THE CITY / BY THE UNION LEAGUE CLUB / OF BROOKLYN / APRIL 27TH 1896,-73.952778,NY,1218,Gift of The Union League Club of Brooklyn,,Brooklyn,Statue,11216,William,,Bronze,,20.0,"M.H. Mosman, Chicopee, MA",Department of Parks and Recreation
,False,1330,,Irish,Waldreaon,,"world war i, war","Pedestal: ERECTED BY THE CITIZENS / AND PATRIOTIC FRIENDS / TO THE MEMORY OF / THOSE OF THE BRONX / WHO SERVED AND TO THOSE / WHO FOUGHT AND DIED / IN THE WORLD WAR / THAT THE LIBERTY AND / THE IDEALS OF OUR / COUNTRY MIGHT ENDURE / MCMXXV Integral base: EAGLE BRONZE WORKS, INC. FOR J.W. FISK IRON WORKS, NEW YORK",-73.881083,NY,,Gift of Bronx Victory Memorial Association,,Bronx,Statue,10458,Jerome,,Bronze,,,,Department of Parks and Recreation
,False,1314,,"Jewish, LGBTQ+",,,"lgbtq+, stonewall inn, gay liberation, gay rights",GAY LIBERATION / BY / GEORGE SEGAL / BRONZE CAST -- 1980 / DEDICATED -- 1992 /---/ GIFT OF THE MILDRED ANDREWS FUND / TO THE CITY OF NEW YORK,-74.002402,NY,0592,Gift of Mildred Andrews Fund,,Manhattan,Statue,10014,George,Winslow,Bronze,,87.0,"Johnson Atelier, Hamilton Township, NJ",Department of Parks and Recreation
,False,1314,,"Italian, American",,Pasquale,"american civil war, military, war","GENERAL PHILIP HENRY / SHERIDAN / 1831-1888 Right of pedestal: ""HE BELONGS TO THE FIRST RANK / OF SOLIDERS. NOT ONLY OF OUR / COUNTRY BUT OF THE WORLD"" / U.S. GRANT Left of pedestal: ERECTED BY THE GENERAL SHERIDAN / MEMORIAL ASSOCIATION AND HIS COMRADES OF THE G.A.R.",-74.002103,NY,0592,"Gift of General Sheridan Memorial Association, Inc.",,Manhattan,Statue,10014,Joseph,,Bronze,,87.0,,Department of Parks and Recreation
,False,2939,,"American, Woman",,,"mayor, politician, public servant",FIORELLO LA GUARDIA / 1882-1947 / STATESMAN / HUMANITARIAN / AVIATOR / MAYOR OF / THE CITY OF NEW YORK / 1934-1945 / I HAVE FOUGHT A GOOD FIGHT / I HAVE FINISHED MY COURSE / I HAVE KEPT THE FAITH / *** II TIMOTH IV. 7 / THIS MEMORIAL / ERECTED BY / THE LA GUARDIA/ MEMORIAL ASSOCIATION / 1957,-73.987703,NY,0255,LaGuardia Memorial Association,Eggers & Higgins,Manhattan,"Bust, Pedestal",10002,Jo,,Bronze,,12.0,,Department of Parks and Recreation
