architect,ApproxDate,RecordIDs,ArchMiddle,artists_keyword,primary_architect_last,primary_artist_middle,SubjectTags,EngravingText,longitude,state,BlkNum,acquisition,architecture_firm,borough_x,ArtForm,zip_code,ArtistGiven,landscape_architect,Medium,secondary_artist_middle,LotID,foundry,managing_city_agency
,False,3297,,,,,"women, woman, first lady",THIS FORTY FLOWERING CHERRY TREES / IN THE MALLS BETWEEN 75TH AND 96TH STREETS / A GIFT OF THE / ALBERT & MARY LASKER FOUNDATION / WERE PLANTED IN MEMORY OF / SUSAN E. WAGNER / BELOVED FIRST LADY OF THE CITY OF NEW YORK / NOVEMBER 1964,-73.962479,NY,,Gift of Albert and Mary Lasker Foundation,Vollmer Associates,Manhattan,Plaque,10021,,,Bronze,,,,Department of Parks and Recreation
,False,"2019, 1859",,"Italian, American",,,"abstract, birdbath, woman",EDITH DEACON MARTIN / 1898 1941 / OMNIA AD MAIROEM DE GLORIAM /,-73.971894,NY,1111,"Gift of S. Holladay Philbin, Joan Kettering Martin, Patricia Martin Martin, and Nancy Walker",,Manhattan,Bird Bath,10019,Oronzio,,Marble,,1.0,,Department of Parks and Recreation
,False,"157, 195, 320",,American,,Louis,"general slocum disaster, fountain, children","(FRONT, UPPER RIGHT): THEY WERE / EARTH'S / PUREST / CHILDREN / YOUNG AND / FAIR (PROPER RIGHT SIDE): IN MEMORY OF / THOSE WHO LOST / THEIR LIVES / IN THE DISASTER TO / THE STEAMER / GENERAL SLOCUM / JUNE XV / MCMIV (PROPER LEFT SIDE): DEDICATED / BY / THE SYMPATHY SOCIETY / OF GERMAN LADIES / THE YEAR OF OUR LORD / MCMVI",-73.981378,NY,0403,Gift of Sympathetic Society of German Ladies,,Manhattan,"Stele, Bas-Relief",10009,Bruno,,Tennessee Pink Marble,,1.0,,Department of Parks and Recreation
,False,1859,,American,Embury II,George Richard,"animals, wpa",Signed: F.G.R. ROTH,-73.971273,NY,1111,Purchased with T.E.R.A. Funds,,Manhattan,Bas-Relief,10019,Frederick,,Limestone,,1.0,,Department of Parks and Recreation
,False,3184,,,,,"politician, public servant, city councilmember",IN MEMORY OF / GENEVIEVE BEAVERS EARLE / 1883-1956 LONGTIME RESIDENT OF BROOKLYN HEIGHTS / CIVIC LEADER AND GOOD NEIGHBOR / MEMBER AND MINORITY LEADER OF THE CITY COUNCIL / DEVOTED TO THE WELFARE OF BROOKLYN AND / THE CITY OF NEW YORK / THIS PLAQUE IS THE GIFT OF HER MANY FRIENDS,-73.998029,NY,0208,Gift of the Earle Plaque Committee,,Brooklyn,"Flagstaff Base, Plaque",11201,,,Bronze,,25.0,"Forman Company, Brooklyn, New York",Department of Parks and Recreation
,False,"1960, 1501",,,,,"world war ii, war",,-73.896372,NY,5900,Gift of Peter G. Lehman Post #8646,General Bronze Corporation,Bronx,Tree Marker,10471,,,Bronze,,150.0,,Department of Parks and Recreation
,True,3911,,American,,,"lawyer, politician, secretary of state, senator, congressman","LIBERTY AND UNION, / NOW AND FOREVER, / ONE AND INSEPARABLE. / DANIEL WEBSTER /",-73.974122,NY,1111,Gift of Gordan W. Burnham,,Manhattan,Statue,10024,Thomas,,Bronze,,1.0,"Von Miller's Foundry, Munich, Germany",Department of Parks and Recreation
,False,1903,,American,,,animals,,-73.986226,NY,0355,Gift of Tom Otterness,,Manhattan,Sculpture,10002,Tom,,Bronze,,10.0,"Beacon Fine Art Foundry, Beacon, NY",Department of Parks and Recreation
,False,1334,George,,Waldreaon,,"world war i, world war ii, korean war, vietnam war, war","Side 1: ERECTED BY THE / VAN NEST CITIZEN'S / PATRIOTIC LEAGUE / IN MEMORY OF / THOSE WHO SERVED / OUR COUNTRY / IN THE / WORLD WAR / 1917 --- 1918 / AND / WORLD WAR II / 1941 --- 1945 Bronze Plaque: REDEDICATION BY / ITALIAN AMERICAN WAR VETERANS / BRONX COUNTY POST 39 / OCTOBER 31, 1979 Side 2: KOREA / RALPH J. CELENTANO / ROBERT F. GORMAN Side 3: LEST WE FORGET / PAUL ARNONE / THOS. BARRY / F.M. BEGAN / VIVIEN BROWN / C. DIEDTRICH / H. ERLANDSEN / WM. GORTON / JOS. A. KALLAS / CHAS. KEEGAN / ARTHUR MCBRIDE / F. SCHLAICH / H. SCHEELER / J. SLATOBOLSKY / EUG. L. ZENGEN / JOHN N. BELMONT / DEDICATED / MCMXXVI Side 4: VIETNAM / MICHAEL P. GALEA / PATRICK J. GALLAGHER / DANIEL MEADE / MARTIN R. POWERS / ANGELO G. RAPTIG / DENNIS J. RUSSO / VINCENT M. SORANNO / ROBERT L. TARANTO / RICHARD J. TIRIGO / JULIO C. VARGAS / RICHARD PARKER / PETER R. WIESNEIFSKI",-73.865525,NY,4028,Gift of Van Nest Citizens Patriotic League,,Bronx,Stele,10462,,,Granite,,100.0,,Department of Parks and Recreation
,False,3033,,,,,"world war ii, war","Stele: THAT WE BE FREE / Tablet: 1941 1945 / THIS TABLET IS DEDICATED TO THE MEN OF THIS/ COMMUNITY WHO MADE THE SUPREME SACRIFICE IN WORLD WAR II / SSGT. ADAMS, V.J. --- PFC. D'AMATO, L.C. --- SGT. GWIAZDOWSKI, M. --- PVT. PROTO, L. / PFC. ARETINO, D.C. --- SGT. DEODATI, K. --- PFC. KAZAKEVICJ, V.L. --- PVT. RUBINETTI, J. / PVT. BIANCO, A.J. --- CPL. DESIO, J.S. --- LT. KORBELAK, S. --- PFC. RUBINETTI, J. / SFC BIELINSKI, J. --- PVT. DOMANICO, T.J. --- PFC. LA ROCCA, P.F. --- TCPL. RUSSO, J.A. / SSGT. BILASZ, S. --- PVT. FALCO, R. --- SGT. LA TORRE, G.M. --- PFC. SACCONE, A. / PFC. BOSCO, F.C. --- CPL. FALTER, F.F. --- SGT. LAWOR, G. --- PVT. SANTA MARIA, C. / PVT. BUONAGURO, J.A. --- PFC. FARANDA, F.F. --- PVT. LEONARD, E.A. --- PVT. SCHETTINO, V. / PFC. BUSRUS, A. --- 1ST LT. FEDERICO, D.J. --- PFC. LIGUORI, D.A. --- PVT. SCHMIEDER, A.J. / PVT. CALIENDO, P. --- PFC. FERONE, J.P. --- SFC. LOMBARDI, V.J. --- PFC. SCUDIERE, V. / PFC. CANDELA, S. --- CPL. FILL, J. --- PFC. LOMUTO, F.S. --- PFC. SEVERINO, C. / PFC. CARBONE, R. --- PVT. FORGIONE, V. --- PVT. MADDALONI, L. --- CPL. SIJEWIC, A. / CMOM. CHESTARO, T.W. --- PFC. FORLANO, L.A. --- PVT. MASCIA, V.J. --- SSGT. TAFURI, G. / TSGT. CHIAFARI, F.J. --- PVT. FRANZESE, S. --- PVT. MAZZA, N. --- CPL. THOMAS, A.J. / SSGT. CHIPICHETTA, J.A. --- COX. FURINO, L.A. --- CPL. MONTEFORTE, F.J. --- PFC. TITANO, S.C. / PFC. CIA, J. --- PVT. GAGAS, C.J. --- PFC. MURAWSKI, M. --- PVT. UVINO, A. P. / PFC. CIANTRO, JR., P. --- PL.SGT, GATTO, J.D. --- CPL. PACIA, M.A. --- PFC. VELOTTA, F.P. / CPL. CIFALDI, J. --- LT.FR. GIORGIO, E.J. --- PFC. PALLADINO, F.D. --- SSGT. VINTIS, C.V. / SGT. CIMINO, V.J. --- PVT. GRASSANO, N. --- PVT. PECORA, F.D. --- PFC. VITACCO, S. / PFC. CORTWRIGHT, W.H. --- PVT. GUIDICE, A.M. --- PFC. PIZZONIA, A. --- SFC. YODICE, G. I. / PVT. GUIDICE, J.V. --- PFC. POPPOPA, J. / ERECTED BY THE TWENTY-SEVEN MEMORIAL POST NO. 1751, AMERICAN LEGION",-73.951907,NY,2323,Gift of The Twenty-Seventh Memorial Post-American Legion # 1751,,Brooklyn,Stele,11211,,,Bronze,,31.0,,Department of Parks and Recreation
,False,1155,,American,Bacon,Chester,philanthropist,D.C. FRENCH 1922 ALFRED TREDWAY WHITE /1846-1921/LOVER OF NATURE/HELPER OF MANKINS/BELOVED OF ALL (Stele) GIFTS IN MEMORY OF/ SETH OLIVER HAWKINS/ 1965-1989/FROM HIS FAMILY AND FRIENDS/ MADE POSSIBLE THE PLACEMENT/OF THIS REPLICA OF/A DANIEL CHESTER FRENCH BAS RELIEF IN THIS/ THE ORIGINAL LOCATION/JUNE 1900,73.963158,NY,1183,Gift of The Hawkins Family and Friends,,Brooklyn,"Bas-Relief, Stele",11238,Daniel,,Bronze,,1.0,,Department of Parks and Recreation
,False,3911,,"Italian, American",Matriati,,"philosopher, politician",Front: GIUSEPPE MAZZINI Right: DIO E IL POPULO Left: PENSIERO ED AZIONE Rear: PRESENTED / TO THE CITY OF NEW YORK / BY THE ITALIANS / IN THE U.S. OF AMERICA / 1878,-73.976720,NY,1111,Gift of Italians in the United States of America,,Manhattan,"Bust, Pedestal",10023,Giovanni,,Bronze,,1.0,G. Fisher & Bros Brnz Works,Department of Parks and Recreation
,False,"1859, 2208",,American,Embury II,George Richard,"literary character, wpa, woman, women",F.G.R. ROTH,-73.969547,NY,1111,Commissioned by Department of Parks & Recreation,,Manhattan,Sculpture,10021,Frederick,,Granite,,1.0,,Department of Parks and Recreation
,False,2673,,American,,,"politician, public servant, governor, irish, catholic","Front: THESE HOUSES ARE NAMED / FOR / ALFRED EMANUEL SMITH / 1873 - 1944 / SPEAKER OF THE ASSEMBLY / SHERIFF OF NEW YORK COUNTY / PRESIDENT OF THE BOARD OF / ALDERMEN / FOUR TIMES GOVERNOR OF / THE STATE OF NEW YORK / NOMINEE FOR / PRESIDENCY OF THE / UNITED STATES / THIS MEMORIAL IS THE / GIFT OF HIS FRIENDS Right: BORN AND RAISED / IN THIS OLD EAST / SIDE AS WERE HIS / FATHER, MOTHER / WIFE AND FIVE / CHILDREN. HE/ WORKED DEVOT-/ EDLY TO MAKE IT / A BETTER AND A/ HAPPIER HOME / FOR HIS NEIGHBORS Left: HAPPY WARRIOR / FOR THE RIGHTS / OF HUMANITY HE / VOICED THE FAITH / ""THE GREATEST / PRIVILEGE THAT / CAN COME TO ANY / MAN IS TO GIVE / HIMSELF TO THE / NATION WHICH / REARED HIM""",-73.997278,NY,0111,Gift of the Governor Alfred E. Smith Memorial Committee,Eggers & Higgins,Manhattan,Statue,10038,Charles,,Bronze,,160.0,,Department of Parks and Recreation
,True,6519,,American,,,abstract,,-74.010521,NY,,Commissioned through Department of Cultural Affairs Percent for Art Program,Jaroff Design,Manhattan,Sculpture,10004,Bryan,,"Stainless Steel, Cast Glass",,,,Department of Parks and Recreation
,True,649,,,,,milestone,11 MILES FROM / N. YORK / ON THE KINGSBRIDGE RD / IN 1769 AT 170TH STREET / IN 1819 AT 189TH STREET / THE CITY HISTORY CLUB / 1912,-73.938384,NY,2106,Gift of the City History Club of New York,J&R Lamb Studios,Manhattan,"Plaque, Plinth",10032,,,Granite,,1.0,,Department of Parks and Recreation
,False,415,,"Austrian, American",Bacon,,"german, revolutionary, politician, journalist, reformer, veteran",CARL SCHURZ / SOLDIER - STATESMAN / PHILANTHROPIST / 1829 1906/,-73.959056,NY,1850,Gift of The Carl Schurz Memorial Association,,Manhattan,"Statue, Exedra",10026,Karl,,Bronze,,1.0,Jno. Williams,Department of Parks and Recreation
,True,,,,,,"spanish-american war, war","THIS TREE IS DEDICATED TO / THE MEMORY OF / PVT. WALTER B. ROBERTSON / COMPANY F - 8TH REG'T - U.S. ARMY / SPANISH AMERICAN WAR / DIED - AUGUST 3, 1939",-73.735556,NY,10771,,,Queens,Tree Marker,11428,,,Bronze,,25.0,,Department of Parks and Recreation
,False,3809,,American,,,"greek, playwright, author","Front: SOPHOCLES / 496 BC - 406 BC / ANCIENT GREEK PLAYWRIGHT, PRIEST, / POLITICIAN AND GENERAL OF ATHENS. / HIS COMPLETE PLAYS ARE / AJAX , ANTIGONE , ELECTRA, / OEDIPUS AT COLONUS, / OEDIPUS REX, TRACHINIAE, / PHILOCTETES Side 1: ONE WORK ALONE / REPAYS YOU FOR THE / LABOR OF OUR LIVES / LOVE / OEDIPUS AT COLONUS; Side 2: FOR KINDNESS / BEGETS KINDNESS / EVERMORE / AJAX Back: SOPHOCLES",-73.922377,NY,0594,"Gift of Athens Square Park, Inc.",,Queens,Statue,11102,Chris,,Bronze,,1.0,Modern Art Foundry,Department of Parks and Recreation
,False,1665,,,,,"harlem hellfighters, world war i, war",North side: 93RD ST / DIVISION / (US) / [Insignia] / 369TH / INFANTRY / REGIMENT / (15TH REG-NYG) / (COLORED) / IN MEMORY / 1918 / MEUSE-ARGONNE / OFFENSIVE / RIPONT / MONT-CUVELET / SECHAULT / 26 SEP - 1OCT South side: 161 ST / DIVISION / (FR) / [Insignia] / 369TH / INFANTRY / REGIMENT / (15TH REG-NYG) / (COLORED) / IN MEMORY / 1918 / MEUSE-ARGONNE / OFFENSIVE / RIPONT / MONT-CUVELET / SECHAULT / 26 SEP - 1OCT,-73.934458,NY,1740,Gift of 36t9th Historical Society & Veterans Association,,Manhattan,Obelisk,10037,,,Granite,,17.0,,Department of Parks and Recreation
,False,2252,,,,,firefighters,THIS MONUMENT IS ERECTED / BY THE MEMBERS OF / EAGLE FIRE ENGINE COMPANY / NO. 13 / IN CONNECTION WITH THE FRIENDS OF THE / DECEASED / TO COMMEMORATE THE SAD EVENT / CONNECTED WITH THEIR DEATH / AND THE LOSS / WHICH THEY DEPLORE / Marble side 2: HERE ARE INTERRED / THE BODIES OF / EUGENE UNDERHILL / AGED 20 YEARS 7 MONTHS AND 9 DAYS / AND FREDERICK A. WARD / AGED 22 YEARS 1 MONTH AND 16 DAYS / WHO LOST THEIR LIVES BY THE FALLING OF A BUILDING / WHILE ENGAGED / IN THE DISCHARGE OF THEIR DUTY AS / FIRE MEN / ON THE FIRST DAY OF DUTY / MDCCCXXXIV / Bronze plaque: THIS GROUND WAS USED AS A CEMETERY / BY TRINITY PARISH / DURING THE YEARS 1834-1898. / IT WAS MADE A PUBLIC PARK / BY THE CITY OF NEW YORK / IN THE YEAR 1897-8. / THIS MONUMENT STOOD IN THE CEMETERY / AND WAS REMOVED TO THIS SPOT / IN THE YEAR 1898. /,-74.006382,NY,0582,Gift of Eagle Fire Company and Friends,,Manhattan,Sarcophagu,10014,,,Marble,,1.0,,Department of Parks and Recreation
,False,1859,,American,Embury II,George Richard,"animals, wpa",,-73.972210,NY,1111,Purchased with T.E.R.A. Funds,,Manhattan,Bas-Relief,10019,Frederick,,Limestone,,1.0,,Department of Parks and Recreation
,False,2114,,"Woman, American",,Vanderbilt,"colonial, dutch, governor",Base: PETER STUYVESANT / DIRECTOR - GENERAL / OF / NEW NETHERLAND / 1647 - 1664 / Signed: G.V. Whitney,-73.984306,NY,0897,Gift of the Netherland-American Foundation,Noel & Miller,Manhattan,Statue,10003,Gertrude,,Bronze,,40.0,,Department of Parks and Recreation
,False,,,,Embury II,,"military, armed forces, veteran, american civil war, war",IN MEMORIAM / HORACE PORTER / AIDE DE CAMP AND MILITARY SECRETARY/ CHATTANOOGA 1863-VIRGINIA 1864-5 / BRIGADIER GENERAL U.S.A. - AMBASSADOR TO FRANCE / PRESIDENT GRANT MONUMENT ASSOCIATION/ 1891-1919,-73.9630609,NY,1897,Gift of President Grant Monument Association,,Manhattan,"Flagstaff, Plaque",10027,,,Bronze,,100.0,,Department of Parks and Recreation
,False,5961,,"German, American",,,"composer, german, musician,","BEETHOVEN / PRESENTED TO THE / CITY OF BROOKLYN / BY THE UNITED GERMAN SINGERS / OF THE CITY. / FIRST PRIZE AT THE / 17TH NATIONAL SAENGERFEST, / HELD AT NEW YORK JUNE 22 - 26. /",-73.964833,NY,1117,Gift of The United Singers of Brooklyn,,Brooklyn,"Bust, Pedestal",11226,Henry,,Bronze,,1.0,"Lorne & Aylry, New York (1894 )",Department of Parks and Recreation
,False,1445,Brown,American,Lord,Edwin,"president of the united states, vice president of the united states, politician, lawyer","Right side near base of sculpture: GEO. E. BISSELL/SCULPTOR 1898 Back side of sculpture: THE HENRY-BONNARD BRONZE CO./FOUNDERS, NY Front side of sculpture: JAMES BROWN LORD/ARCHITECT Front of pedestal: CHESTER ALANULLRTHUR/TWENTY-FIRST PRESIDENT/OF/THE UNITED STATES/OF AMERICA",-73.987115,NY,0852,Gift of Friends of Chester Alan Arthur,,Manhattan,Statue,10010,George,,Bronze,,1.0,"The Henry-Bonnard Bronze Company, New York",Department of Parks and Recreation
,False,"139, 2739",Morris,American,Hunt,Quincy Adams,"abolitionist, religious leader, clergy, orator",HENRY WARD BEECHER / 1813-1887 THE GRATEFUL GIFT / OF MULTITUDES OF / ALL CLASSES CREEDS / AND CONDITIONS / AT HOME AND ABROAD / TO HONOR THE GREAT / APOSTLE OF THE / BROTHERHOOD OF MAN.,-73.990111,NY,0139,Gift of The Beecher Statue Fund,,Brooklyn,Statue,11201,John,,Bronze,,1.0,Bonnard Bronze Co,Department of Parks and Recreation
,False,,,American,,Walter,sundial,,-73.969912,NY,1111,Gift of The Department of Parks & Recreation,,Manhattan,Sundial,10024,A.,,Bronze,,1.0,,Department of Parks and Recreation
,,,,,,,"world war i, war",THIS TREE IS DEDICATED TO / THE MEMORY OF / CORP. ROBERT GRAY / CO. L. 106TH INFANTRY / WHO DIED IN THE WORLD WAR / 1914-1918 /,-73.841651,NY,3907,,,Queens,Tree Marker,11418,,,Bronze,,1050.0,,Department of Parks and Recreation
,False,1593,,,,V.,"spanish-american war, war",IN MEMORY OF / ROBERT DITMARS VAN SICLEN / 1905 - 1928,-73.798554,NY,9848,Gift of James C. Van Siclen,,Queens,Flagstaff Base,11432,Anthony,,Granite,,164.0,,Department of Parks and Recreation
,False,2281,,,Lamb,,american revolutionary war,"1776 --- HUDSON FULTON CELBRATION COMMISSION --- 1909 / ON THIS HILL-TOP STOOD FORT TRYON / THE NORTHERN OUT-WORK OF / FORT WASHINGTON. / ITS GALLLANT DEFENSE AGAINST / THE HESSIAN TROOPS / BY / THE MARYLAND AND VIRGINIA REGIMENT/ 16 NOVEMBER 1776 / WAS SHARED BY / MARGARET CORBIN / THE FIRST AMERICAN WOMAN / TO TAKE A SOLDIER'S PART / IN THE WAR FOR LIBERTY / --- / ERECTED UNDER THE AUSPICES OF / THE AMERICAN SCENIC AND HISTORIC / PRESERVATION SOCIETY / THROUGH THE GENEROSITY OF / C.K.G. BILLINGS / ERECTED THROUGH THE GENEROSITY OF / JAMES GORDON BENNETT / BY THE EMPIRE STATE SOCIETY OF THE / SONS OF THE AMERICAN REVOLUTION / NOVEMBER 16, 1901. / SITE / REGISTERED BY / THE AMERICAN / SCENIC AND HISTORIC / PRESERVATION / SOCIETY / 1901 /",-73.937610,NY,2179,Gift of James Gordon Bennett and the Empire State Society of the Sons of the American Revolution,,Manhattan,Stele,10033,,,Bronze,,189.0,,Department of Parks and Recreation
,True,,,,,,"american revolutionary war, war, colonial, jewish, sephardic, polish, immigrant","THIS PLAQUE IS DEDICATED TO HAYM SOLOMON IN / RECOGNITION OF HIS TIRELESS EFFORTS ON BEHALF / OF THE REVOLUTIONARY ARMY. / SALOMON, A POLISH JEWISH IMMIGRANT, WAS SO / IMBUED WITH THE SPIRIT OF FREEDOM, HE WITHOUT / MUCH ASSISTANCE, FINANCED THE AMERICAN / REVOLUTIONARYT WAR BY HIS INEXHAUSTIBLE FUND- / RAISING. THOUGH HIS HEALTH WAS RUINED DURING / HIS IMPRISONMENT BY THE BRITISH, SALOMON'S FAITH / IN JUDAISM NEVER FALTERED, NOR DID HIS BELIEF IN / THE GREATNESS OF OUR COUNTRY, WHILE HE RAISED / HUNDREDS OF THOUSANDS OF DOLLARS FOR THE WAR / EFFORT, SALOMON, IRONICALLY, DIED PENNILESS. // APPROXIMATELY 100 YEARS AFTER HIS DEATH, HAYM / SALOMON WAS FINALLY ACKNOWLEDGED BY THE / UNITED STATES FOR HIS EXTRAORDINARY PATRIOTISM.",-73.821134,NY,,"Gift of Nat and Maxwell Dorr Post No. 793, Jewish War Veterans of the United States of America",,Queens,Stele,11367,,,Granite,,,,Department of Parks and Recreation
,False,"55, 1371",E.,American,Wallis,Scott,"american civil war, engineer, swedish, war","Integral plinth, right: [signed] J.S. Hartley 1902 / Pedestal front: ERICSSON / Pedestal back: THE CITY OF NEW YORK / ERECTS THIS STATUE TO THE / MEMORY OF A CITIZEN WHOSE / GENIUS HAS CONTRIBUTED / TO THE GREATNESS OF THE / REPUBLIC AND THE PROGRESS / OF THE WORLD /---/ APRIL 26 1893 /---/ ON JULY 31 1803 JOHN ERICSSON WAS / BORN IN LANGSBANSHYTTAN SWEDEN / DIED IN NEW YORK MARCH 8 1889",-74.014528,NY,0003,Commissioned by The City of New York,,Manhattan,Statue,10004,Jonathan,,Bronze,,1.0,"Gorham Manufacturing and Founders (statue); Roman Bronze Works, Inc. (plaques)",Department of Parks and Recreation
,False,1045,Greene,"Italian, American",Pollard,,"world war i, war, doughboy",TO THE MEMORY / OF THE / BUSHWICK-RIDGEWOOD / BOYS WHO SERVED / IN THE WORLD WAR / 1917-1918,-73.917907,NY,3299,Gift of The Bushwick-Ridgewood Monument Committee,,Brooklyn,Statue,11237,Pietro,,Bronze,,1.0,,Department of Parks and Recreation
,False,2587,,Japanese,,,"maritime, bas-relief, animals",,-73.975545,NY,,Commissioned through Department of Cultural Affairs Percent for Art Program,Goldstone & Hinz,Brooklyn,Bas-Relief Sculpture,11224,Toshio,,"Terrazzo, Ceramic, Concrete",,,,Department of Parks and Recreation
,False,5054,J.,"American, LGBTQ+",Koenen,,"maritime, pier",,-73.943766,NY,,Commissioned through Department of Cultural Affairs Percent for Art Program,Koenen Associates,Brooklyn,Installation,11235,Scott,,Mixed Media,,,,New York City Economic Development Corporation
,False,1712,,,,,"world war i, war","Stele (front): DEDICATED TO THE / RICHARD J. MC NALLY POST 263 / AMERICAN LEGION / IN HONOR OF THE MEN / WHO GAVE THEIR LIVES / FOR THEIR COUNTRY / IN THE WORLD WAR / AND WHO AT THE TIME / OF THEIR ENLISTMENT / RESIDED IN THE TERRITORY / COVERED BY THIS POST / [HONOR ROLL OF 62 NAMES] / Stele (rear): DEDICATED MAY 30, 1921.",-73.929768,NY,2149,"Gift of McNally Post 263, American Legion",,Manhattan,"Plaque, Stele",10033,,,Bronze,,525.0,Eagle Bronze Works,Department of Parks and Recreation
