paper_st,honorary_nm,record_st,stair_st,feat_type,borough,roadway_typ,street_nm,feat_statu,the_geom,old_st_nm
,,,,Mapped_St,Brooklyn,Surface_ST,Tilden Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95106040299854, 40.646811168283726], [-73.95012498556474, 40.64684923384517]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Central Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92828626944183, 40.6998786352117], [-73.9290297609804, 40.70030041517982]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Highlawn Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9844575030966, 40.6028537645801], [-73.9835313378251, 40.60295697050023]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Ridge Place,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.80893210743866, 40.88699030210888], [-73.8087489583357, 40.88738649707768]]]}",
N,,Y,N,Not_mapped,Staten Island,Surface_ST,Gasper Avenue,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.18232046504339, 40.59473964334695], [-74.18199179043975, 40.59497174416799]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Sullivan Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.0047857491107, 40.72362483787666], [-74.00437984927561, 40.724054143904]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Bovanizer Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.16797027893378, 40.54134780791939], [-74.16779325532673, 40.54045508451685], [-74.16779149909466, 40.54044622948308]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,27 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98462483475993, 40.59347489984227], [-73.98653065912484, 40.591670689199155]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Monahan Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.14929560690008, 40.58836154818351], [-74.14855507125728, 40.58795239017567]]]}",
N,,,,Mapped_St,Queens,Surface_ST,82 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.71516864784313, 40.74002719231368], [-73.71426525453371, 40.7402211850635]]]}",
Y,,,N,Mapped_St,Queens,Surface_ST,181 Place,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.76275171505608, 40.66708243106515], [-73.76277200510106, 40.66699610592705]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,2 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.96897803788579, 40.754250535826344], [-73.96852047091878, 40.754876190026714]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Colony Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.09113602119697, 40.573655705962516], [-74.09032842542825, 40.57451533654703]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Morris Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.2125200736321, 40.55328738722719], [-74.2114396183615, 40.55353714402728], [-74.21032995885167, 40.55377515621203]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Richmond Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.10371740953086, 40.58726361040643], [-74.10392537948486, 40.58707587395681]]]}",
,Vincent Abate Way,,,Mapped_St,Brooklyn,Surface_ST,Manhattan Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.94618486664507, 40.71506514258389], [-73.94618522821447, 40.71506732288877]]]}",
N,,,N,Not_mapped,Staten Island,Surface_ST,Ostrich Court,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.22062953307959, 40.530803834733774], [-74.22057685054375, 40.5310267443397], [-74.22055769846554, 40.531107781157644]]]}",
N,,,,Mapped_St,Queens,Surface_ST,271 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.7028704212994, 40.7518387485542], [-73.70285118668333, 40.75178710866598], [-73.7023934286244, 40.750558089114946]], [[-73.7023934286244, 40.750558089114946], [-73.70206009221783, 40.749680471706085], [-73.70172676459391, 40.748802853222166]]]}",
,,,,Mapped_St,Queens,Surface_ST,156 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.85801993672774, 40.66178364156754], [-73.85711002864414, 40.66191389768848]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Caroll Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.78995099303894, 40.84492227761975], [-73.78595258617501, 40.84583191771576]]]}",
,,,,Mapped_St,Queens,Surface_ST,25 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.843497730212, 40.77662822911483], [-73.84440009371984, 40.77665761979899]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Bradford Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.89069366231027, 40.66684507484695], [-73.891085315857, 40.668378492604475]]]}",
N,,,,Mapped_St,Queens,Surface_ST,154 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.80993956003289, 40.77250866114148], [-73.80984373342675, 40.77321798396077]]]}",
N,,,,Mapped_St,Queens,Surface_ST,21 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.93286959058588, 40.7639903764819], [-73.93398092261819, 40.76282598201957]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,2 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95174238196631, 40.77787430569393], [-73.95124788445415, 40.77855085207917]]]}",
N,,,,Mapped_St,Queens,Surface_ST,86 Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.8626733090207, 40.692779680037276], [-73.86169145786425, 40.69298154313535]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Craig Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.24024738256482, 40.515119772935606], [-74.24104081718346, 40.51467116626067]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Remsen Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92540699952787, 40.65767996935615], [-73.92521808162574, 40.657496375340116]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Eltinge Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.09606309624039, 40.60302836682681], [-74.0945119041524, 40.60281404531189]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Crowell Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1250090529149, 40.61585261820686], [-74.12496577504193, 40.61585603861782]]]}",
Y,,,,Mapped_St,Bronx,Surface_ST,Parsifal Place,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.8233657528099, 40.84009414319494], [-73.8232135211108, 40.84003504550618], [-73.82320660014877, 40.840032358626765]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Falcon Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.76713333102136, 40.59997823744848], [-73.76708379320358, 40.60000185419926], [-73.76492708910652, 40.60102998744268]]]}",
N,,,N,Not_mapped,Bronx,Surface_ST,Oak Avenue,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-73.80950385788282, 40.813892573415025], [-73.80934176081605, 40.81356140800191]]]}",
N,,,,Mapped_St,Queens,Surface_ST,234 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.73770056289912, 40.73768595725032], [-73.73767886677324, 40.73762765373818], [-73.73694210957147, 40.73564817925836]], [[-73.73694210957147, 40.73564817925836], [-73.73693435471833, 40.73562734170958], [-73.73614313697018, 40.73351555987026]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Devoe Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.87810559744545, 40.8389308512524], [-73.87773628825518, 40.83947489647508], [-73.8773933353038, 40.83998010676652]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,8 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9787104466985, 40.66636627570888], [-73.98106716811233, 40.66750574291545]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Flatbush Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9465044595939, 40.63172119414881], [-73.94648544828314, 40.63170340454429]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,East 96 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92272730302705, 40.6622319573398], [-73.92454475566079, 40.66386561567192]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Maple Parkway,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1565720864503, 40.62877846274155], [-74.15654212414644, 40.62774657569109], [-74.15656926783694, 40.62732004739715], [-74.15666302405042, 40.62618192106467], [-74.15667439040526, 40.626043934903855]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Woodrow Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.18318064182616, 40.555201043524804], [-74.18411348387764, 40.55433363206111]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,47 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9953543169859, 40.638805015465856], [-73.99453635794696, 40.638308631630366]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Perry Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.87438658453351, 40.879055173235486], [-73.87406953030411, 40.880032683694765]], [[-73.8743928931536, 40.879035436903585], [-73.87438658453351, 40.879055173235486]], [[-73.87526842641152, 40.877139377750616], [-73.87480123159392, 40.87775798451176], [-73.8743928931536, 40.879035436903585]], [[-73.87589510041575, 40.87630166273015], [-73.87526842641152, 40.877139377750616]], [[-73.87649057665091, 40.87549854359882], [-73.87589510041575, 40.87630166273015]], [[-73.87699021161036, 40.87482119847608], [-73.87649057665091, 40.87549854359882]], [[-73.87751365419831, 40.87413927489221], [-73.87699021161036, 40.87482119847608]], [[-73.8786478334092, 40.87307523723535], [-73.8785271097278, 40.873132433541016], [-73.87751365419831, 40.87413927489221]], [[-73.88047021102312, 40.87211628513859], [-73.87878282849636, 40.8730112787155], [-73.8786478334092, 40.87307523723535]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,2 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.02276954171772, 40.643468458153784], [-74.02337056547394, 40.64288834980368], [-74.02395564947139, 40.64232680127723], [-74.02456733665753, 40.64177087229658], [-74.02512022228298, 40.64121007207593], [-74.02572377077615, 40.640630518948875], [-74.02627689094743, 40.64009859086888], [-74.02677938464434, 40.63961534042439]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,East 29 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.94163088643066, 40.59369096279198], [-73.94123257636517, 40.591571378626995]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Clinton Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.96749338737567, 40.68651950987374], [-73.96749304160261, 40.686517787993914], [-73.96705568200005, 40.684319212246876]]]}",
N,,,N,Not_mapped,Staten Island,Surface_ST,USS Tennessee Road,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.05838707765936, 40.598100150285674], [-74.0583390034973, 40.598027767991276], [-74.05828747294608, 40.597956780910344]]]}",
Y,,,,Mapped_St,Staten Island,Surface_ST,Call Street,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.13291083327174, 40.57499476512367], [-74.13287542887062, 40.574928138380706], [-74.13256831470332, 40.57435017394559], [-74.13256425345385, 40.574342530469266]]]}",
N,,,N,Mapped_St,Queens,Surface_ST,180 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.76189470858428, 40.683556361826824], [-73.76170524271747, 40.68328547133283], [-73.76141849588927, 40.682875484856915]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Decker Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1412316646736, 40.62496628736866], [-74.14166480858314, 40.62464036913731]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Cropsey Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.99257827101266, 40.59167716888628], [-73.99310526166086, 40.59233228895135]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,East 100 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.89834097199106, 40.6451654821196], [-73.89756616464733, 40.6444796529858], [-73.89649114049102, 40.643516071882964]]]}",
N,,,,Mapped_St,Queens,Surface_ST,95 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.83713154922663, 40.65610533483525], [-73.83701565750488, 40.655635201789096], [-73.83691075430546, 40.655209645439875], [-73.83671881341495, 40.65443099186687]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Forest Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.14876804720083, 40.62510475589402], [-74.1488058417893, 40.62510956529366]]]}",
Y,,,N,Mapped_St,Queens,Surface_ST,St. Cloud Road,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.80765989209745, 40.594451136740425], [-73.80706211614833, 40.59509023855697]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Gladwin Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.79644617315695, 40.7498592163948], [-73.79481034597237, 40.74864732629762]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,George Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9283928842373, 40.704520755179864], [-73.92846786754477, 40.704444557264104], [-73.92985348851418, 40.703036445624576]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Gale Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9338986889295, 40.73831890692589], [-73.93462306360267, 40.73947860693567]], [[-73.93348178394994, 40.73765143295214], [-73.9338986889295, 40.73831890692589]], [[-73.93346132951108, 40.73761868407511], [-73.93348178394994, 40.73765143295214]]]}",
N,,,,Mapped_St,Queens,Surface_ST,220 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.73412412318343, 40.71364790495489], [-73.73399849470326, 40.71394953748228], [-73.7339755235468, 40.71400469225076], [-73.73385120335968, 40.714303182132106]]]}",
N,Henry Grate Sr. Place,,,Mapped_St,Queens,Surface_ST,Remington Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.8070440486873, 40.6903481417942], [-73.80685291770116, 40.690217878595924]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Ridge Court,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.09843422576894, 40.617532062954915], [-74.09829787203063, 40.61745796227309], [-74.0981936208895, 40.61739528298762], [-74.09809357838652, 40.61732874017642], [-74.09799799083471, 40.61725849768197], [-74.09790709357586, 40.61718472845565], [-74.09782111040103, 40.61710761413182], [-74.09772243031232, 40.617010426919585], [-74.09763078322402, 40.61690931992325], [-74.09754643668286, 40.61680458834178], [-74.09746963691686, 40.616696537955264], [-74.09740060811667, 40.6165854842321], [-74.09739748633368, 40.61658006934091]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Schermerhorn Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.99174170643154, 40.69099263667976], [-73.9937459639684, 40.69154212556381]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Ditmars Boulevard,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9067881596777, 40.77336665413384], [-73.9074883041471, 40.7738627923951]], [[-73.90606085507103, 40.77285220020784], [-73.9067881596777, 40.77336665413384]], [[-73.90533429606668, 40.77233776026471], [-73.90606085507103, 40.77285220020784]], [[-73.9046175303644, 40.77183369760022], [-73.90533429606668, 40.77233776026471]], [[-73.90390464766477, 40.77132876017974], [-73.9046175303644, 40.77183369760022]], [[-73.90319073350979, 40.770824582862986], [-73.90390464766477, 40.77132876017974]], [[-73.902476096732, 40.770319761106194], [-73.90319073350979, 40.770824582862986]], [[-73.90176061642573, 40.769815987740074], [-73.90209498628238, 40.77005142093257], [-73.902476096732, 40.770319761106194]], [[-73.90104672341666, 40.769312229257125], [-73.90142830849386, 40.76958149185504], [-73.90176061642573, 40.769815987740074]], [[-73.90033221255528, 40.76880748421978], [-73.90104672341666, 40.769312229257125]]]}",
N,,,,Mapped_St,Queens,Surface_ST,214 Place,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.7733009872411, 40.77582768131759], [-73.77378257100645, 40.777547466594235]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,East 96 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90964217127119, 40.65049602135751], [-73.91022992818478, 40.651014030882195]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Cornelia Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.91689101935704, 40.688785041948044], [-73.91543802994971, 40.69026481877493]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Cornelia Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90587861103297, 40.69992666924632], [-73.90641381558862, 40.69940212210933], [-73.90802249233545, 40.697825409001375]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,East 15 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95999281581513, 40.617794769156156], [-73.95958350665823, 40.61561981407881]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Coursen Place,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.08033512998824, 40.619258664208836], [-74.07992287307285, 40.61948245184515]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Court Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.99392929631956, 40.68645287072014], [-73.9940914769733, 40.686113439547725]]]}",
N,,,,Mapped_St,Queens,Surface_ST,215 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.77406527926146, 40.780171841921806], [-73.77387085277914, 40.77967374155569], [-73.77387075889264, 40.77967348112554]]]}",
N,,,,Mapped_St,Queens,Surface_ST,31 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90484694907833, 40.757254916117546], [-73.90557464167213, 40.75717763107023]], [[-73.90557464167213, 40.75717763107023], [-73.90646810037629, 40.75708247322943]], [[-73.90646810037629, 40.75708247322943], [-73.90736565475268, 40.756987591810635]], [[-73.90780821714243, 40.75698563434484], [-73.90783513299252, 40.756997982903]], [[-73.90736565475268, 40.756987591810635], [-73.90775532397134, 40.75696136660179], [-73.90780821714243, 40.75698563434484]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Lathrop Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.13743544173806, 40.61914708142219], [-74.13819132202772, 40.61926635887052]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Avenue Z,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98300387161908, 40.58480912649884], [-73.9819955881023, 40.58492240287682]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Hatfield Place,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.13502186755831, 40.63161301735573], [-74.13714956884941, 40.632751230567195]]]}",
