paper_st,honorary_nm,record_st,stair_st,feat_type,borough,roadway_typ,street_nm,feat_statu,the_geom,old_st_nm
N,,,,Mapped_St,Queens,Surface_ST,62 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.88814296819437, 40.718254593012745], [-73.88731437598435, 40.71863009037968]], [[-73.8895333515457, 40.717614870933154], [-73.88814296819437, 40.718254593012745]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,West 45 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.99691343077386, 40.762748835952266], [-73.99895667323516, 40.76361991231638]], [[-73.99406769859542, 40.76155517084608], [-73.99691343077386, 40.762748835952266]], [[-73.99123062468088, 40.76035414720623], [-73.99406769859542, 40.76155517084608]], [[-73.98839044532842, 40.759164186106645], [-73.99123062468088, 40.76035414720623]], [[-73.98553726632602, 40.75797328414867], [-73.98839044532842, 40.759164186106645]], [[-73.98271205231288, 40.75677122848616], [-73.98553726632602, 40.75797328414867]], [[-73.97948313821743, 40.7554049654559], [-73.98271205231288, 40.75677122848616]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Bard Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1087120868702, 40.64511103074761], [-74.1087100051422, 40.645100997335014], [-74.1084998050748, 40.64408787090139]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,71 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.03113030176662, 40.635254210931336], [-74.0306923103057, 40.63515254300787], [-74.03026763163784, 40.63505396769726]]]}",
,,,,Not_mapped,Staten Island,Surface_ST,Yacht Club Cove,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.13833552731495, 40.54612723278897], [-74.13841394665268, 40.54621971524488], [-74.13855756157207, 40.546389085303325]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Flatbush Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95746359857523, 40.64237166944072], [-73.95707031027207, 40.6419606716718]]]}",
N,,,,Mapped_St,Queens,Surface_ST,53 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.86872017196367, 40.7391994877499], [-73.86703973801005, 40.73957218941312]], [[-73.87093964734166, 40.73870275456126], [-73.87091071435326, 40.73870923100826], [-73.87000811083074, 40.73891124435467], [-73.86872017196367, 40.7391994877499]], [[-73.8735674663098, 40.738116827037466], [-73.87293122870841, 40.73825869617977], [-73.87093964734166, 40.73870275456126]], [[-73.87569371176491, 40.73722534205162], [-73.87472744940956, 40.737850832789825], [-73.87362140789624, 40.7381044583279], [-73.8735674663098, 40.738116827037466]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,East 52 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.97467949392737, 40.759113496248], [-73.97306775222194, 40.758432545351404]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,17 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98948868203438, 40.62336951021987], [-73.9900935605693, 40.62278895355433]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Belt Parkway,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.0287851771699, 40.64112319105327], [-74.02862207853005, 40.641056665439024], [-74.02839277781757, 40.64096313590086], [-74.0283299023393, 40.64093391517501], [-74.0282405021017, 40.64089236562963], [-74.02802775294687, 40.640793489420524], [-74.02742711510317, 40.64051433573055], [-74.02729842537137, 40.64046048112497], [-74.02691981361724, 40.64030850792107], [-74.0267429252332, 40.64024446829506], [-74.02662323816426, 40.640201136099336], [-74.02639714907845, 40.64013419684523], [-74.02627689094743, 40.64009859086888], [-74.02626267388068, 40.64009438149095], [-74.02616333712574, 40.64007250262317], [-74.02608483887352, 40.64005521339018], [-74.0259049375233, 40.640021753867025], [-74.02572341903341, 40.63999407665375], [-74.02544845020367, 40.63996286372504], [-74.02517075612226, 40.63994559886746], [-74.02489216900969, 40.639942434752896], [-74.024823269477, 40.639945147600336], [-74.02470341283659, 40.63994986511282], [-74.02461453284388, 40.63995336377587], [-74.02456739358195, 40.63995721366765], [-74.02436408956687, 40.6399738147572], [-74.02411500965363, 40.640005448447084], [-74.02386858149295, 40.64004816552977], [-74.02362604615398, 40.64010175234428], [-74.02340727368227, 40.64016083417956], [-74.02326382277435, 40.64020534080119], [-74.02314579838104, 40.64024552684372], [-74.02296221321807, 40.64031514851683], [-74.0229087357834, 40.64033542895439], [-74.02267854424025, 40.64043516108153], [-74.02260877290368, 40.6404694134346], [-74.02246253930613, 40.64053889818416], [-74.02228790818238, 40.64063883658591], [-74.02222562111243, 40.64067782218106], [-74.02180903253208, 40.64095040873854], [-74.02175710039891, 40.64098483098822], [-74.02172675945135, 40.641004940799235], [-74.0215200101957, 40.64115336710537], [-74.02120118132622, 40.64138694066203], [-74.02105097915152, 40.64148242230686]]]}",
N,,,,Mapped_St,Queens,Surface_ST,72 Drive,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.82331046401255, 40.72470214599589], [-73.82242641757321, 40.724966329558704], [-73.82107676436014, 40.725361710403895]]]}",
,,,,Mapped_St,Queens,Surface_ST,Cross Bay Boulevard,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.82098451199779, 40.596426666254466], [-73.82098893214273, 40.59676707858658], [-73.82097077138283, 40.597059369528694], [-73.82089135557048, 40.59756015526886], [-73.82088229592485, 40.59762865574378], [-73.82079322156267, 40.59830211538099], [-73.82068361994013, 40.59889129703529]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Grand Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.96254446113296, 40.687089192273994], [-73.96269059094719, 40.68782485038973]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Laguardia Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.11782391623517, 40.6025473969621], [-74.11786992616065, 40.6032301973355]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Marcy Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.20135695898354, 40.54056663157491], [-74.20166930284003, 40.54126450518375]]]}",
N,,,,Mapped_St,Queens,Surface_ST,220 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.75296581609871, 40.738089881997], [-73.75277792074296, 40.73778264134581], [-73.75274564484539, 40.737709750421516]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Major Deegan Expressway,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92280940429328, 40.85026776849854], [-73.92241735937765, 40.850686890722265], [-73.92176910063122, 40.85136211900182], [-73.92094703327014, 40.85225569288914], [-73.9209400108326, 40.852263157655386]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Highland Boulevard,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.89046526934733, 40.683703314843534], [-73.89034574947415, 40.6837776051309], [-73.8896851428731, 40.68419985087434], [-73.88963364955036, 40.68423276393336]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Neptune Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.99724085543839, 40.5776118867281], [-73.99686696897622, 40.57765217559714]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Sycamore Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.15507303287234, 40.543318764303365], [-74.15578841780187, 40.542907689961474]]]}",
,,,,Not_mapped,Staten Island,Surface_ST,Green Tree Lane,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.16098100815742, 40.6087803930009], [-74.16027651290189, 40.60859611925108]]]}",
,,,,Mapped_St,Queens,Surface_ST,26 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.79163526108069, 40.774238655177264], [-73.79179849402426, 40.774184095478674], [-73.79195859058036, 40.77412440624359], [-73.79211527197718, 40.77405969141041], [-73.79226826539207, 40.773990063668435]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Grandview Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1653754986417, 40.62903547400683], [-74.16543954512032, 40.62715476561858]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,West 130 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95739012152588, 40.816940199827634], [-73.96023645555798, 40.81812306896815]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,West 12 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98500620362677, 40.60573161731191], [-73.98492571675597, 40.605312756086924]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,West 4 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.97777375821443, 40.608289142598615], [-73.97743517197259, 40.60651338392741], [-73.97736510008801, 40.606145894243326]]]}",
