_2014_score,borough,_2010_score,block,_2014_ghg_emissions_intensity_kgco2e_ft,lot,bin,_2010_ghg_emissions_intensity_kgco2e_ft
97,1.0,Not Available,1044.0,2.5,22.0,1025397.0,Not Available
Not Available,1.0,Not Available,16.0,4.8,7516.0,1087518.0,4.7
61,3.0,64,880.0,5.8,1.0,3331276.0,5.3
Not Available,1.0,Not Available,1983.0,5.7,3.0,1059720.0,4.8
Not Available,2.0,Not Available,4336.0,12.8,1.0,2115623.0,3.7
55,3.0,62,8188.0,4.6,1.0,3229773.0,4.1
Not Available,4.0,Not Available,24.0,5.2,7.0,4000025.0,2.1
95,3.0,85,4327.0,3.3,24.0,3097429.0,3.9
68,2.0,59,3024.0,4.7,21.0,2011054.0,4.6
Not Available,1.0,Not Available,1957.0,5.5,1.0,1813294.0,7.6
Not Available,2.0,Not Available,2605.0,15.7,40.0,2109479.0,12.7
38,1.0,53,1830.0,7,19.0,1055204.0,6.4
73,2.0,74,3652.0,4.2,1.0,2097341.0,3.6
Not Available,4.0,Not Available,5107.0,8.2,200.0,4439683.0,6.8
87,2.0,72,2672.0,4.4,1.0,2004869.0,5.9
60,3.0,2,1188.0,6,1.0,3378160.0,12.7
6,2.0,Not Available,3356.0,8.8,36.0,2115241.0,Not Available
52,1.0,56,154.0,7,23.0,1078613.0,7.2
72,3.0,8,3949.0,4.6,18.0,3087821.0,7.8
86,3.0,88,1743.0,4.5,18.0,3048517.0,3.9
Not Available,3.0,Not Available,1183.0,5.1,2.0,3029665.0,5.5
Not Available,2.0,Not Available,3272.0,12.8,1.0,2113012.0,3.7
82,1.0,64,872.0,5.6,13.0,1017821.0,7.2
74,4.0,94,6726.0,4.4,70.0,4146042.0,2.8
45,2.0,59,4986.0,7.4,81.0,2067852.0,6
48,4.0,91,3782.0,5.2,27.0,4091737.0,3.3
93,2.0,87,2897.0,3.7,5.0,2009400.0,4.4
Not Available,2.0,Not Available,3126.0,7.2,12.0,2013192.0,6.8
95,5.0,89,6613.0,5,1.0,5082634.0,4.5
84,4.0,56,10144.0,5.7,42.0,4216099.0,6.6
64,2.0,75,5918.0,5.1,376.0,2085870.0,6.3
55,2.0,35,3114.0,4.5,52.0,2013047.0,4.7
70,3.0,53,8034.0,5.1,1.0,3225637.0,5.4
Not Available,2.0,Not Available,2350.0,7.5,24.0,2001088.0,5.6
39,1.0,43,2118.0,6.5,22.0,1062792.0,5.5
84,4.0,86,11673.0,5.3,1.0,4252357.0,5
Not Available,4.0,Not Available,16127.0,5.6,1.0,4439014.0,5.5
80,1.0,81,356.0,3.4,100.0,1004349.0,3.3
91,4.0,94,11049.0,4.5,1.0,4238003.0,3.6
71,4.0,60,16112.0,5.5,1.0,4303354.0,6
50,5.0,61,7894.0,6.5,1.0,5088090.0,5.8
95,2.0,82,2215.0,5.4,80.0,1064532.0,5.5
85,3.0,91,1845.0,4.8,1.0,3053075.0,3.8
Not Available,3.0,Not Available,1894.0,5.7,38.0,3054607.0,8.5
Not Available,4.0,Not Available,10917.0,4.9,29.0,4233644.0,5
100,3.0,94,2759.0,2.7,1.0,3068728.0,3.9
Not Available,2.0,Not Available,2722.0,7.2,63.0,2005755.0,7.3
Not Available,3.0,52,1548.0,0,19.0,3042090.0,4.4
Not Available,4.0,Not Available,10104.0,9.2,43.0,4215630.0,0.9
Not Available,2.0,Not Available,3189.0,0.4,9.0,2014125.0,0.4
46,2.0,28,3081.0,5.4,26.0,2012359.0,6
Not Available,1.0,Not Available,1060.0,6.6,63.0,1026706.0,6.3
Not Available,3.0,Not Available,8760.0,10.2,60.0,3347724.0,10.4
83,4.0,66,1423.0,3.5,1.0,4034891.0,3.5
Not Available,3.0,Not Available,86.0,5.2,7501.0,3000176.0,4.9
Not Available,1.0,Not Available,1111.0,68,1.0,1083839.0,70.4
90,5.0,81,3696.0,3.2,100.0,5053571.0,3
10,3.0,12,2525.0,18.3,1.0,3398215.0,31
Not Available,3.0,Not Available,3691.0,10.9,1.0,3083579.0,Not Available
Not Available,3.0,Not Available,3023.0,3.2,32.0,3070819.0,3.6
Not Available,2.0,Not Available,4651.0,3.4,44.0,2057523.0,4
Not Available,3.0,Not Available,3343.0,13,29.0,3076461.0,8.7
Not Available,2.0,Not Available,2605.0,16.5,40.0,0.0,12.7
76,4.0,90,12261.0,6.9,1.0,4265978.0,5.2
Not Available,3.0,Not Available,175.0,20.5,1.0,3000605.0,15.4
93,3.0,92,1868.0,4.7,28.0,3323075.0,4.8
Not Available,3.0,Not Available,8760.0,10.2,60.0,3226937.0,10.4
43,3.0,73,1235.0,6.4,37.0,3031296.0,4.7
Not Available,3.0,Not Available,3106.0,7.3,20.0,3071521.0,3.5
Not Available,1.0,Not Available,2071.0,10.9,27.0,1075504.0,1.3
86,1.0,88,2215.0,3.2,831.0,1064704.0,2.8
89,4.0,90,3437.0,3.7,1.0,4082076.0,3.4
93,4.0,38,1985.0,3.4,1.0,4048820.0,4
82,1.0,87,1971.0,5.4,1.0,1059645.0,4.1
Not Available,3.0,Not Available,8760.0,10.2,60.0,3348024.0,10.4
16,4.0,Not Available,2803.0,5.9,1.0,4062864.0,Not Available
87,2.0,75,2578.0,5.6,27.0,2003910.0,5.2
Not Available,1.0,Not Available,311.0,8.4,31.0,1004053.0,7.6
91,4.0,85,794.0,3.3,17.0,4015334.0,3.3
Not Available,3.0,Not Available,3583.0,3.1,6.0,3082035.0,4.2
Not Available,5.0,Not Available,319.0,32.3,1.0,5112427.0,24.7
85,5.0,29,545.0,4.1,110.0,5014176.0,4.1
