_2014_score,borough,_2010_score,block,_2014_ghg_emissions_intensity_kgco2e_ft,lot,bin,_2010_ghg_emissions_intensity_kgco2e_ft
65,2.0,48,3356.0,4.2,36.0,2018628.0,3.7
68,2.0,56,2634.0,5.3,1.0,2004526.0,5.7
45,4.0,42,6927.0,7,22.0,4149690.0,4.6
7,4.0,21,1600.0,7.3,61.0,4437166.0,5.7
Not Available,4.0,Not Available,3491.0,10.9,1.0,4083512.0,9.1
73,4.0,70,10944.0,4.3,301.0,4234318.0,3.2
77,3.0,88,5774.0,4.5,1.0,3143190.0,3.6
97,3.0,99,397.0,3.1,11.0,3006356.0,2.4
Not Available,1.0,Not Available,1111.0,9.4,1.0,1083837.0,7.3
Not Available,2.0,Not Available,2306.0,3.1,52.0,2000656.0,7.5
58,3.0,34,1229.0,5.1,28.0,3031050.0,6
Not Available,5.0,Not Available,215.0,6,46.0,5106681.0,4.9
95,4.0,74,1607.0,3,1.0,4437176.0,4.4
Not Available,1.0,Not Available,2139.0,4.8,404.0,1063445.0,2.1
90,1.0,Not Available,1747.0,10.9,35.0,1077376.0,Not Available
71,1.0,14,1640.0,4.9,139.0,1083184.0,7
85,3.0,87,3242.0,4.2,1.0,3073761.0,3.7
59,3.0,58,4461.0,5.5,1.0,3098536.0,5.2
73,2.0,59,2692.0,5.2,14.0,2005276.0,5.2
20,4.0,7,634.0,6.5,36.0,4009499.0,8.7
73,3.0,68,3802.0,4.2,15.0,3084617.0,4
67,3.0,73,4278.0,5.1,1.0,3095977.0,4.1
80,1.0,84,2172.0,5.1,16.0,1076756.0,4.5
Not Available,2.0,Not Available,2388.0,8.9,45.0,2001584.0,7.7
51,4.0,54,11151.0,5.2,81.0,4240503.0,4.5
42,4.0,44,12973.0,6,1.0,4529511.0,5.1
59,3.0,50,8712.0,6.2,56.0,3245498.0,5.6
Not Available,4.0,Not Available,2347.0,7.7,55.0,4054170.0,7.8
60,3.0,95,6769.0,4.8,18.0,3182169.0,2.5
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100256.0,2.5
89,4.0,35,7677.0,4.1,1.0,4163698.0,4
58,3.0,70,7281.0,7.6,1.0,3196595.0,6
11,4.0,Not Available,21.0,7,30.0,4542629.0,Not Available
89,3.0,61,1101.0,4.3,1.0,3026517.0,5.3
42,2.0,31,4916.0,7.2,1.0,2065992.0,6.6
84,2.0,87,4074.0,4.3,1.0,2044091.0,3.6
10,5.0,8,1653.0,6.7,1.0,5032481.0,7.5
66,4.0,66,2802.0,4.2,94.0,4062861.0,4
Not Available,5.0,Not Available,2040.0,11.1,1.0,5107303.0,10.1
51,3.0,88,5653.0,5,21.0,3138276.0,4.4
70,3.0,87,7006.0,6.8,1.0,3188726.0,4.2
Not Available,2.0,Not Available,3222.0,3.3,620.0,2104900.0,2.5
62,2.0,87,2306.0,5.9,54.0,2097038.0,4.1
Not Available,3.0,Not Available,1933.0,9.2,121.0,3055379.0,7.4
Not Available,3.0,Not Available,8760.0,10.2,60.0,3326934.0,10.4
Not Available,4.0,Not Available,9799.0,8.5,27.0,4525758.0,7.5
Not Available,1.0,Not Available,2032.0,5.5,17.0,1060503.0,5.1
17,4.0,70,15819.0,9.8,148.0,4531136.0,3.9
89,2.0,83,2932.0,4.2,1.0,2009718.0,3.9
76,4.0,79,3270.0,5.8,1.0,4078312.0,5
90,4.0,86,2126.0,3.7,14.0,4442846.0,5.1
71,2.0,30,2847.0,4.6,41.0,2103870.0,4.8
Not Available,2.0,Not Available,2918.0,10.4,1.0,2009573.0,10.1
69,5.0,72,534.0,5.5,75.0,5013955.0,3.6
3,4.0,1,2344.0,20,30.0,4054168.0,116.4
92,4.0,92,3434.0,3.2,1.0,4081987.0,1.8
Not Available,2.0,Not Available,2945.0,8,18.0,2009891.0,8.5
Not Available,2.0,Not Available,3089.0,5.5,24.0,2012517.0,5.3
88,3.0,87,8018.0,4,1.0,3224947.0,3.1
33,3.0,74,950.0,5,24.0,3019597.0,4.3
Not Available,1.0,Not Available,1008.0,6.6,15.0,1023391.0,6
98,4.0,98,9774.0,4.5,1.0,4448767.0,3.7
46,3.0,93,211.0,5.1,1.0,3001540.0,2.8
90,3.0,92,696.0,4.9,31.0,3337060.0,4.6
Not Available,4.0,Not Available,4346.0,8.6,75.0,4802407.0,5.1
Not Available,2.0,Not Available,2696.0,4.3,30.0,2005346.0,2.8
Not Available,1.0,Not Available,2138.0,20.2,24.0,1063379.0,34.1
86,2.0,94,3247.0,4.6,70.0,2100971.0,2.3
60,4.0,79,6858.0,15.3,1.0,4442433.0,12.3
Not Available,1.0,Not Available,1120.0,7.1,9.0,1028237.0,8.9
Not Available,3.0,Not Available,1396.0,8.6,6.0,3037543.0,7.9
Not Available,2.0,Not Available,2605.0,14.6,40.0,2109476.0,12.7
48,4.0,28,12820.0,6,1.0,4276382.0,5
Not Available,1.0,Not Available,1876.0,8.6,20.0,1056586.0,7
70,4.0,51,11714.0,4.7,100.0,4253607.0,5
Not Available,4.0,Not Available,644.0,16.6,1.0,4441089.0,5.6
Not Available,5.0,Not Available,76.0,5.1,200.0,5000000.0,6.3
Not Available,2.0,Not Available,3247.0,4.6,1.0,2097314.0,4.5
Not Available,2.0,Not Available,2567.0,6.2,13.0,2003811.0,2.1
70,4.0,61,9321.0,7.2,1.0,4195688.0,8.2
71,3.0,76,941.0,5.6,50.0,3259250.0,4.7
68,2.0,53,5641.0,6.5,280.0,2082444.0,6.9
100,6.0,Not Available,0.0,2.7,0.0,0.0,Not Available
Not Available,4.0,Not Available,295.0,8.8,45.0,4307187.0,10.1
69,3.0,65,4353.0,5.4,50.0,3097675.0,4.3
16,5.0,19,497.0,8.8,1.0,5013236.0,7.9
Not Available,2.0,Not Available,2605.0,15.5,40.0,2116652.0,12.7
Not Available,3.0,Not Available,4791.0,5.1,46.0,3106505.0,5
71,3.0,58,3137.0,4,26.0,3071806.0,5.3
Not Available,5.0,Not Available,5900.0,7.6,500.0,5000000.0,0.8
94,3.0,97,4126.0,4.7,47.0,3092063.0,3.9
1,3.0,4,2944.0,8.4,11.0,3070524.0,6.7
27,3.0,26,5850.0,7.5,30.0,3144482.0,7.3
76,4.0,68,3976.0,3.8,1.0,4096774.0,4
87,5.0,93,308.0,4,1.0,5008403.0,3.1
80,3.0,75,1160.0,6.8,1.0,3028862.0,7
89,4.0,91,9540.0,6.2,2.0,4202849.0,4.6
60,2.0,49,2763.0,5.8,279.0,2006566.0,2.5
Not Available,4.0,Not Available,4382.0,4.8,1.0,4000000.0,Not Available
37,2.0,8,2793.0,5.2,28.0,2007387.0,6.3
64,1.0,47,374.0,9.6,20.0,1004415.0,10.9
49,3.0,75,3544.0,5,135.0,3081460.0,3.7
54,1.0,62,1700.0,5.5,1.0,1052999.0,4.9
Not Available,3.0,Not Available,3098.0,5.3,19.0,3071470.0,5.7
93,5.0,85,4244.0,3.8,1.0,5107621.0,3.5
Not Available,3.0,Not Available,3227.0,3.1,10.0,3073394.0,3.4
Not Available,3.0,Not Available,4140.0,6.8,13.0,3092631.0,8.8
Not Available,4.0,Not Available,10021.0,4,1.0,4214446.0,3.8
Not Available,3.0,Not Available,4077.0,6.5,28.0,3090430.0,2.6
82,3.0,86,1962.0,4.9,10.0,3332865.0,3.5
69,3.0,55,6065.0,6.6,43.0,3154215.0,8.2
Not Available,3.0,Not Available,8760.0,10.2,60.0,3347725.0,10.4
Not Available,3.0,Not Available,5598.0,4.8,48.0,3135907.0,3.2
58,4.0,100,6507.0,4.8,200.0,4538714.0,1.6
37,2.0,48,2269.0,10,21.0,2090354.0,9.2
75,3.0,77,1787.0,4.3,14.0,3049858.0,3.7
Not Available,1.0,Not Available,280.0,6.6,44.0,1003425.0,8.2
65,4.0,81,8276.0,4.7,620.0,4171759.0,3.3
Not Available,3.0,Not Available,1331.0,4.2,9.0,3035444.0,4.6
Not Available,3.0,Not Available,8760.0,10.2,60.0,3347724.0,10.4
24,2.0,20,3834.0,6.2,70.0,2103494.0,4.9
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
82,4.0,32,7774.0,3.8,165.0,4164350.0,4
79,3.0,96,6180.0,5.5,1.0,3157760.0,3.4
Not Available,3.0,Not Available,2454.0,2.5,1.0,3335964.0,2.3
88,2.0,87,3007.0,4.1,8.0,2010910.0,4.3
Not Available,2.0,Not Available,4336.0,12.8,1.0,2115623.0,3.7
19,3.0,12,4812.0,7.8,1.0,3831514.0,8.7
97,1.0,84,926.0,2.9,1.0,1081671.0,3.4
Not Available,3.0,Not Available,1472.0,6.8,1.0,3319475.0,8.1
78,1.0,97,1595.0,5,15.0,1051410.0,2.3
Not Available,2.0,Not Available,2907.0,8.9,10.0,2009509.0,8.4
89,4.0,60,9327.0,4.4,26.0,4449704.0,5.2
47,5.0,15,1218.0,4.9,1.0,5027641.0,5.5
Not Available,4.0,Not Available,5107.0,8.2,200.0,4439682.0,6.8
3,4.0,Not Available,6858.0,8.5,1.0,4442432.0,2
62,4.0,71,11942.0,6.3,302.0,4258143.0,5.5
75,1.0,76,1689.0,6,5.0,1052986.0,5.5
51,3.0,39,1233.0,5.5,26.0,3330794.0,4.4
Not Available,2.0,Not Available,2605.0,15.5,40.0,0.0,12.7
95,3.0,93,111.0,4,1.0,3000203.0,3.8
Not Available,1.0,Not Available,1957.0,5.5,1.0,1084067.0,7.6
79,2.0,69,3718.0,5.1,1.0,2087014.0,4
95,3.0,47,7084.0,4.7,1.0,3190273.0,4.4
Not Available,4.0,Not Available,6517.0,7.5,1.0,4439911.0,7.5
79,2.0,62,2873.0,3.9,27.0,2088263.0,3.9
36,3.0,5,139.0,7.7,1.0,3000256.0,15.1
70,1.0,70,1925.0,5.7,19.0,1058447.0,5.7
56,2.0,47,2683.0,7.5,65.0,2005089.0,8.1
84,3.0,94,2091.0,7.1,3.0,3058531.0,5.3
73,4.0,50,6038.0,4.4,13.0,4134525.0,4
71,3.0,71,2670.0,5,1.0,3066698.0,5
75,3.0,61,3520.0,5.2,8.0,3081032.0,5.3
Not Available,4.0,Not Available,9756.0,9.1,6.0,4208836.0,6.9
Not Available,1.0,Not Available,1722.0,7.9,30.0,1053460.0,6.9
Not Available,2.0,Not Available,2861.0,4.3,129.0,2109470.0,5.1
Not Available,2.0,Not Available,3272.0,12.8,1.0,2113012.0,3.7
Not Available,1.0,Not Available,142.0,15.4,50.0,1066406.0,10.5
74,3.0,64,4015.0,4.1,1.0,3089176.0,4
45,4.0,40,2284.0,4.1,6.0,4052874.0,4.1
75,3.0,77,6640.0,4.5,13.0,3176229.0,4
19,2.0,22,2913.0,6.1,1.0,2009555.0,6
24,3.0,28,1482.0,8.6,1.0,3039676.0,8.5
61,2.0,54,4493.0,5.2,1.0,2053518.0,4.5
Not Available,3.0,Not Available,7065.0,4.9,1.0,3189617.0,4.8
64,4.0,46,7870.0,4.2,72.0,4529899.0,4.4
Not Available,3.0,Not Available,4051.0,13.9,16.0,3089813.0,10.5
Not Available,3.0,Not Available,1183.0,13.4,1.0,3337842.0,8.5
75,2.0,32,2572.0,6.3,6.0,2091301.0,8.7
Not Available,3.0,Not Available,8698.0,17.5,1.0,3115623.0,24.5
51,2.0,26,2902.0,5.5,1.0,2009463.0,5.9
Not Available,5.0,Not Available,489.0,4.9,48.0,5013187.0,3.9
78,1.0,81,742.0,4.9,7.0,1013096.0,4.7
Not Available,5.0,Not Available,2040.0,5.5,1.0,5107304.0,10.1
Not Available,3.0,Not Available,3498.0,6,8.0,3378202.0,4.6
Not Available,2.0,Not Available,3325.0,17.4,5.0,2017718.0,8.3
4,2.0,Not Available,2527.0,9.3,58.0,2117349.0,Not Available
84,2.0,85,2284.0,4.1,34.0,2000308.0,4.4
Not Available,4.0,Not Available,7490.0,11.5,2.0,4862627.0,11.3
2,1.0,7,2084.0,7.8,29.0,1087824.0,6.3
72,3.0,74,4648.0,5.5,1.0,3101168.0,4.4
77,4.0,25,9768.0,3.9,22.0,4209031.0,4.5
Not Available,2.0,Not Available,4876.0,7.5,1.0,2065163.0,8
65,4.0,82,15693.0,7.7,1.0,4442313.0,5.8
Not Available,4.0,Not Available,6517.0,7.5,1.0,4467563.0,7.5
72,3.0,81,998.0,4,1.0,3012840.0,5.1
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100240.0,2.5
Not Available,3.0,Not Available,2885.0,3.8,1.0,3338306.0,Not Available
Not Available,3.0,Not Available,1117.0,15.3,1.0,3339261.0,15.4
Not Available,4.0,Not Available,1726.0,4.5,5.0,4042862.0,4.8
36,1.0,35,962.0,16.4,100.0,1086515.0,20.9
Not Available,3.0,Not Available,2613.0,4.8,1.0,3065473.0,8.3
54,1.0,43,1065.0,4.6,1.0,1026841.0,5
Not Available,1.0,Not Available,1472.0,7.5,28.0,1045991.0,7.1
Not Available,3.0,Not Available,128.0,7,1.0,3335890.0,4.9
88,5.0,68,5336.0,6.8,1.0,5069075.0,5.4
Not Available,4.0,Not Available,386.0,3.8,7.0,4004679.0,4
Not Available,4.0,Not Available,1592.0,10.1,72.0,4445296.0,9.4
92,4.0,92,12104.0,4.1,1.0,4262725.0,3.6
Not Available,4.0,Not Available,16212.0,7.5,17.0,4304442.0,7.2
Not Available,4.0,Not Available,307.0,11.7,29.0,4003673.0,8
Not Available,4.0,Not Available,7490.0,11.4,2.0,4458074.0,11.3
42,2.0,31,4916.0,7.2,1.0,2065992.0,6.6
89,2.0,86,2655.0,3.7,30.0,2004690.0,4.8
38,4.0,32,10178.0,5.9,1.0,4216655.0,5.3
Not Available,2.0,Not Available,2763.0,9.3,1.0,2109472.0,9.9
69,2.0,79,5368.0,8.2,1.0,2074045.0,7.3
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100250.0,2.5
Not Available,1.0,Not Available,1911.0,4.5,43.0,1057874.0,3.7
24,1.0,28,1931.0,5.9,27.0,1058660.0,5.5
Not Available,3.0,Not Available,928.0,6.1,6.0,3018376.0,5.7
Not Available,4.0,Not Available,10171.0,4.9,8.0,4539786.0,5.5
Not Available,3.0,Not Available,7371.0,13.6,52.0,3200556.0,11.8
83,1.0,84,422.0,4.4,72.0,1005626.0,4
17,3.0,23,1751.0,8.7,25.0,3329636.0,8.8
46,1.0,54,394.0,5.9,12.0,1079053.0,5.5
81,3.0,77,880.0,3.2,1.0,3331274.0,2.7
67,1.0,74,925.0,4.7,12.0,1020513.0,5.1
Not Available,1.0,Not Available,962.0,3.9,100.0,1087242.0,4.2
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100240.0,2.5
23,2.0,18,4341.0,6.2,13.0,2049999.0,5.1
Not Available,4.0,Not Available,10092.0,20.7,6.0,4215603.0,21.4
93,4.0,96,3490.0,5.3,1.0,4083511.0,3.8
77,3.0,54,3507.0,4.6,7.0,3080768.0,5.4
96,4.0,73,6826.0,2.6,1.0,4147847.0,6.6
45,3.0,14,5778.0,1.9,1.0,3257059.0,3.1
76,2.0,77,2717.0,4.8,5.0,2005681.0,4
81,3.0,72,1510.0,4.9,1.0,3040878.0,4.7
39,2.0,35,4719.0,6,1.0,2060191.0,5.7
Not Available,4.0,Not Available,6517.0,7.5,1.0,4439914.0,7.5
100,1.0,100,848.0,0.9,7502.0,1016163.0,1.1
87,1.0,83,1939.0,3.9,11.0,1058808.0,4.4
Not Available,2.0,Not Available,2727.0,16.6,17.0,2005802.0,13.2
39,4.0,43,2423.0,6.1,1.0,4440274.0,5.2
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100252.0,2.5
Not Available,4.0,Not Available,6517.0,7.5,1.0,4442883.0,7.5
Not Available,4.0,Not Available,1791.0,330.4,52.0,4311982.0,219.7
73,3.0,83,1367.0,6,22.0,3036289.0,5.2
94,4.0,71,15736.0,4.6,1.0,4300730.0,4.7
83,5.0,44,1121.0,4.9,1.0,5026076.0,5.4
67,4.0,74,11018.0,4.5,21.0,4236757.0,4.1
43,3.0,56,3606.0,5.9,1.0,3082391.0,4.9
36,4.0,41,9172.0,5.2,1.0,4467457.0,4.5
86,1.0,98,996.0,4.5,21.0,1022615.0,2.6
83,4.0,58,7312.0,4.3,1.0,4438325.0,3.4
Not Available,3.0,Not Available,4717.0,5.6,38.0,3103597.0,5.9
77,2.0,53,3208.0,5.6,1.0,2014505.0,5.3
59,2.0,39,4552.0,5.9,10.0,2054933.0,4.7
Not Available,1.0,Not Available,1772.0,4.3,31.0,1054433.0,4.1
Not Available,3.0,100,3966.0,0,1.0,3327112.0,1
96,4.0,92,12495.0,4.6,65.0,4270045.0,5
11,3.0,59,2039.0,22.7,101.0,3251647.0,7.6
99,3.0,50,0.0,1.5,0.0,3336609.0,4.5
40,4.0,37,13578.0,6.6,1.0,4288640.0,6.4
Not Available,1.0,Not Available,1773.0,10.7,33.0,1054465.0,8.4
75,2.0,1,3842.0,5,2.0,2027195.0,5
59,4.0,78,11018.0,4.6,21.0,4236757.0,3.7
90,4.0,93,16257.0,7.6,1.0,4305615.0,4.8
80,3.0,63,1643.0,7.8,36.0,3045047.0,9.6
81,1.0,77,563.0,5.2,19.0,1009128.0,5.8
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
67,4.0,69,776.0,12,150.0,4539570.0,13.1
17,3.0,9,1888.0,5.8,34.0,3054323.0,7.3
51,4.0,54,11151.0,5.2,81.0,4240503.0,4.5
67,2.0,60,3948.0,6.4,55.0,2041247.0,5.2
Not Available,3.0,Not Available,4258.0,12.4,36.0,3095610.0,13.4
84,1.0,87,1461.0,5.1,7.0,1045569.0,4.7
25,5.0,23,683.0,7.6,1.0,5113169.0,8.2
Not Available,4.0,Not Available,3365.0,2.6,27.0,4080234.0,Not Available
Not Available,1.0,Not Available,1920.0,17.1,26.0,1058275.0,13.1
Not Available,3.0,Not Available,3803.0,4.5,46.0,3342526.0,4.5
Not Available,5.0,Not Available,99999.0,0.2,1.0,5000000.0,0.1
Not Available,3.0,Not Available,4090.0,7.3,1.0,3090726.0,4.9
70,1.0,65,2160.0,8,18.0,1076751.0,8.5
36,3.0,33,1355.0,5.7,23.0,3035887.0,5.1
58,4.0,71,6834.0,4.7,1.0,4148003.0,3.9
15,3.0,Not Available,5891.0,6.2,48.0,3146550.0,Not Available
76,2.0,51,3123.0,5.6,3.0,2013142.0,5.3
Not Available,2.0,Not Available,2953.0,11.9,21.0,2097277.0,9.4
49,2.0,61,3060.0,8.1,32.0,2011826.0,5.5
39,4.0,18,438.0,5.1,26.0,4005184.0,5.1
67,3.0,80,6271.0,5.5,1.0,3162711.0,4.6
85,4.0,77,12927.0,4.8,28.0,4278380.0,4.4
Not Available,2.0,Not Available,2605.0,19.4,40.0,2096863.0,12.7
73,1.0,85,344.0,5,1.0,1004091.0,3.9
Not Available,1.0,Not Available,1680.0,5.9,45.0,1074278.0,5
84,3.0,89,8464.0,4,1.0,3326821.0,3.4
3,2.0,8,5263.0,7.9,115.0,2115403.0,7
84,3.0,70,8388.0,4,2.0,3236496.0,3.9
Not Available,1.0,Not Available,1957.0,9.6,200.0,1084085.0,7.6
24,1.0,8,113.0,8.4,100.0,1001388.0,13.5
46,2.0,55,5756.0,5.2,195.0,2083564.0,4.5
37,2.0,8,2793.0,5.2,28.0,2007387.0,6.3
82,3.0,68,1518.0,5.2,1.0,3041214.0,5.8
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100243.0,2.5
Not Available,1.0,Not Available,881.0,8,31.0,1018107.0,5.5
14,4.0,21,275.0,12.2,7501.0,4003522.0,10.8
Not Available,4.0,Not Available,99999.0,0,9999.0,4000000.0,0
23,2.0,9,2552.0,4.8,70.0,2003646.0,5.3
26,3.0,49,4904.0,6.3,10.0,3327776.0,5.4
76,2.0,70,3188.0,4.7,8.0,2014098.0,4.4
90,1.0,100,1554.0,5.6,15.0,1050217.0,0.8
Not Available,1.0,Not Available,2069.0,8,26.0,1075503.0,4.6
Not Available,5.0,Not Available,2685.0,16.7,100.0,5141714.0,Not Available
90,3.0,84,3823.0,4.3,1.0,3085070.0,4.2
Not Available,5.0,Not Available,5900.0,14.4,500.0,5130986.0,6.1
1,2.0,1,3246.0,7.6,2.0,2015222.0,8.2
Not Available,2.0,Not Available,3247.0,4.6,1.0,2098697.0,4.5
Not Available,1.0,Not Available,606.0,7.2,1.0,1082668.0,6.9
82,3.0,83,5362.0,4.9,21.0,3125676.0,4.2
36,2.0,23,2359.0,7.1,240.0,2001153.0,4.7
79,3.0,75,4324.0,7.7,1.0,3097334.0,6.6
61,4.0,49,11972.0,5.6,70.0,4259200.0,4.9
92,4.0,90,1849.0,4.2,1.0,4045629.0,3.7
Not Available,2.0,Not Available,2605.0,14.6,40.0,0.0,12.7
Not Available,2.0,Not Available,2738.0,0.2,35.0,2005938.0,0.8
91,2.0,86,4125.0,6,1.0,2045344.0,5.2
77,2.0,73,3067.0,4.1,1.0,2011937.0,4
Not Available,1.0,Not Available,2111.0,4,58.0,1062652.0,4
99,4.0,94,7128.0,2.4,10.0,4153407.0,2.1
Not Available,1.0,Not Available,962.0,6.9,100.0,1069579.0,6.7
Not Available,1.0,Not Available,1488.0,6.6,17.0,1046409.0,3
Not Available,2.0,Not Available,3222.0,3.3,62.0,2831930.0,2.5
Not Available,4.0,Not Available,7490.0,11.5,2.0,4862628.0,11.3
89,3.0,86,5103.0,5.4,10.0,3336215.0,5.4
75,2.0,55,5917.0,5.5,140.0,2085869.0,5.8
87,1.0,69,170.0,6.2,6.0,1001835.0,8.2
52,4.0,48,3561.0,4.4,1.0,4435561.0,4.4
14,3.0,2,85.0,13.8,6.0,3000172.0,14.5
26,3.0,8,8215.0,6.4,12.0,3396940.0,8.7
Not Available,3.0,Not Available,3043.0,2.9,1.0,3070967.0,2.2
96,1.0,97,259.0,3.1,44.0,1003214.0,2.5
78,3.0,58,4599.0,5.1,1.0,3099537.0,5.9
27,3.0,21,7452.0,24.3,1.0,3204772.0,26.2
40,5.0,42,503.0,7.1,32.0,5013302.0,6.2
44,4.0,39,228.0,5.5,20.0,4003259.0,5
Not Available,3.0,Not Available,4827.0,14.6,39.0,3327687.0,12.6
25,5.0,23,683.0,7.6,1.0,5113169.0,8.2
96,1.0,97,1489.0,4.1,1.0,1046411.0,3.7
5,2.0,4,3330.0,8.5,1.0,2086851.0,8.2
